ncf,ncg,uid,oc,freq
2.615387,2.876786,2.868288,3.385758,0
5.747384,6.346967,6.28018,7.366361,0.25
7.022309,7.815157,7.626917,8.841115,0.5
8.401028,9.419484,9.101071,10.4582,0.75
9.236149,10.43685,10.03468,11.4839,1
9.22076,10.52849,10.10735,11.55417,1.25
8.466009,9.813136,9.419239,10.75973,1.5
7.329057,8.670468,8.311746,9.469352,1.75
6.163935,7.473845,7.120917,8.075042,2
5.17063,6.434261,6.039983,6.829336,2.25
4.393107,5.598885,5.128285,5.821941,2.5
3.798021,4.932286,4.384856,5.039429,2.75
3.343445,4.390503,3.798502,4.432595,3
3.000986,3.948121,3.354708,3.954149,3.25
2.748689,3.590748,3.029661,3.569241,3.5
2.562968,3.302479,2.79501,3.254903,3.75
2.41995,3.064881,2.62844,2.998074,4
2.301568,2.863984,2.516876,2.792882,4.25
2.199512,2.694046,2.451283,2.636066,4.5
2.113998,2.554081,2.42114,2.522468,4.75
2.048434,2.443165,2.413742,2.443676,5
2.004379,2.360667,2.417587,2.390251,5.25
1.980844,2.309374,2.427226,2.355438,5.5
1.977031,2.295214,2.44696,2.338243,5.75
1.993358,2.322436,2.491062,2.344364,6
2.028384,2.389425,2.580683,2.383623,6.25
2.075843,2.488939,2.741184,2.464547,6.5
2.12751,2.610987,3.002804,2.590452,6.75
2.181186,2.745988,3.40116,2.760874,7
2.246195,2.889457,3.968524,2.97606,7.25
2.339677,3.048369,4.710854,3.238514,7.5
2.475332,3.243265,5.580653,3.550505,7.75
2.653956,3.501263,6.472231,3.912497,8
2.864847,3.847722,7.263779,4.323737,8.25
3.098785,4.311026,7.896822,4.778782,8.5
3.364387,4.938804,8.436624,5.258393,8.75
3.698226,5.799677,9.047943,5.727372,9
4.164529,6.948534,9.880022,6.151772,9.25
4.842999,8.371208,10.93985,6.523556,9.5
5.799219,9.952933,12.05456,6.860782,9.75
7.033138,11.49417,12.94823,7.169673,10
8.421503,12.75241,13.36255,7.399809,10.25
9.698904,13.48029,13.13693,7.443209,10.5
10.52164,13.46767,12.23238,7.192343,10.75
10.60786,12.61338,10.73835,6.615084,11
9.878921,11.00778,8.875878,5.785862,11.25
8.507329,8.951058,6.959974,4.850524,11.5
6.834911,6.854581,5.297132,3.956356,11.75
5.216113,5.070421,4.066269,3.19793,12
3.886225,3.76479,3.268571,2.605215,12.25
2.920192,2.912782,2.779461,2.164132,12.5
2.274622,2.388442,2.451223,1.843985,12.75
1.859128,2.063086,2.187356,1.614705,13
1.58918,1.851366,1.954438,1.452487,13.25
1.40657,1.707391,1.75378,1.339745,13.5
1.278333,1.605086,1.591498,1.263645,13.75
1.188276,1.526523,1.466345,1.214198,14
1.128273,1.460343,1.372136,1.182548,14.25
1.09193,1.402744,1.303532,1.160923,14.5
1.0721,1.355483,1.257584,1.144292,14.75
1.062059,1.320715,1.230878,1.131478,15
1.057609,1.296623,1.216999,1.123539,15.25
1.05724,1.277503,1.207859,1.120518,15.5
1.060153,1.257571,1.197307,1.119824,15.75
1.064324,1.234194,1.183088,1.117723,16
1.066305,1.207895,1.165881,1.111771,16.25
1.062492,1.180368,1.14731,1.101375,16.5
1.050712,1.152929,1.128616,1.086507,16.75
1.031333,1.12618,1.110117,1.067008,17
1.007343,1.100503,1.091349,1.043557,17.25
0.9828482,1.076798,1.071953,1.018588,17.5
0.9604993,1.056422,1.052631,0.9951894,17.75
0.9399078,1.039659,1.035041,0.9747394,18
0.9187937,1.024153,1.020635,0.9558948,18.25
0.8959594,1.0058,1.009407,0.9361217,18.5
0.8730438,0.9820223,0.9992976,0.9140894,18.75
0.8532594,0.9539996,0.9865391,0.8904893,19
0.8384815,0.9253774,0.9673495,0.8667892,19.25
0.8275625,0.8991517,0.9404961,0.8435885,19.5
0.8171561,0.8761939,0.9085839,0.8202799,19.75
0.8039736,0.8561321,0.876247,0.7960492,20
0.7865548,0.8384369,0.8465441,0.7708713,20.25
0.7654909,0.822243,0.8190297,0.7454364,20.5
0.7422915,0.8058453,0.7911069,0.72025,20.75
0.7179465,0.7872081,0.7607376,0.6950263,21
0.6923401,0.7651339,0.7277322,0.6690398,21.25
0.6648926,0.7396681,0.6929954,0.6419616,21.5
0.6356468,0.7113007,0.6571755,0.6142341,21.75
0.605657,0.6800641,0.6202227,0.5866662,22
0.5763584,0.6457672,0.5822021,0.5597947,22.25
0.548664,0.6091364,0.5444798,0.5336449,22.5
0.5226701,0.5723963,0.5098712,0.5079615,22.75
0.498103,0.5384122,0.4811744,0.4825754,23
0.474916,0.5092586,0.4592287,0.4576529,23.25
0.453407,0.4856982,0.4423719,0.4337358,23.5
0.4337746,0.4677114,0.4277679,0.4115311,23.75
0.4156483,0.4548896,0.4132349,0.391535,24
0.3982056,0.4460982,0.3980866,0.3738081,24.25
0.3808762,0.4392551,0.3828333,0.3581361,24.5
0.3639264,0.4320664,0.3684402,0.3443688,24.75
0.3482912,0.4231472,0.3556592,0.3324927,25
0.3348253,0.4123541,0.3446229,0.3223669,25.25
0.3236858,0.4001897,0.3348508,0.3135316,25.5
0.3142744,0.3871792,0.3256475,0.3054159,25.75
0.3055907,0.3738192,0.3165834,0.2977247,26
0.296703,0.3607989,0.3077688,0.2905345,26.25
0.287184,0.348981,0.299825,0.2839915,26.5
0.277326,0.3390667,0.2934943,0.2779894,26.75
0.2679087,0.3312162,0.288975,0.2722024,27
0.2596299,0.3249145,0.2855102,0.2664056,27.25
0.252701,0.3192541,0.2818007,0.2607063,27.5
0.2469422,0.3135294,0.2769844,0.255451,27.75
0.2421323,0.3077041,0.2711891,0.2509441,28
0.2381626,0.3023356,0.2651395,0.2472584,28.25
0.2349302,0.2980221,0.2593952,0.2442464,28.5
0.2322456,0.2948601,0.2540417,0.2416621,28.75
0.2298797,0.2923083,0.2489246,0.2392762,29
0.2276051,0.289465,0.2439683,0.2369352,29.25
0.2251518,0.2855133,0.2392854,0.2345233,29.5
0.2222156,0.2800727,0.2350817,0.2318438,29.75
