Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37,Var1_38,Var1_39,Var1_40,Var1_41,Var1_42,Var1_43,Var1_44,Var1_45,Var1_46,Var1_47,Var1_48,Var1_49,Var1_50,Var1_51,Var1_52,Var1_53,Var1_54,Var1_55,Var1_56,Var1_57,Var1_58,Var1_59,Var1_60,Var1_61,Var1_62,Var1_63,Var1_64,Var1_65,Var1_66,Var1_67,Var1_68,Var1_69,Var1_70,Var1_71,Var1_72,Var1_73,Var1_74,Var1_75,Var1_76,Var1_77,Var1_78,Var1_79,Var1_80,Var1_81,Var1_82,Var1_83,Var1_84,Var1_85,Var1_86,Var1_87,Var1_88,Var1_89,Var1_90,Var1_91,Var1_92,Var1_93,Var1_94,Var1_95,Var1_96,Var1_97,Var1_98,Var1_99,Var1_100,Var1_101,Var1_102,Var1_103,Var1_104,Var1_105,Var1_106,Var1_107,Var1_108,Var1_109,Var1_110,Var1_111,Var1_112,Var1_113,Var1_114,Var1_115,Var1_116,Var1_117,Var1_118,Var1_119,Var1_120,Var1_121,Var1_122,Var1_123,Var1_124,Var1_125,Var1_126,Var1_127,Var1_128,Var1_129,Var1_130,Var1_131,Var1_132,Var1_133,Var1_134,Var1_135,Var1_136,Var1_137,Var1_138,Var1_139,Var1_140,Var1_141,Var1_142,Var1_143,Var1_144,Var1_145,Var1_146,Var1_147,Var1_148,Var1_149,Var1_150,Var1_151,Var1_152,Var1_153,Var1_154,Var1_155,Var1_156,Var1_157,Var1_158,Var1_159,Var1_160,Var1_161,Var1_162,Var1_163,Var1_164,Var1_165,Var1_166,Var1_167,Var1_168,Var1_169,Var1_170,Var1_171,Var1_172,Var1_173,Var1_174,Var1_175,Var1_176,Var1_177,Var1_178,Var1_179,Var1_180,Var1_181
2.797155,6.059987,7.213628,8.462564,9.189311,9.061962,8.154785,6.837411,5.534497,4.517904,3.841612,3.414101,3.115506,2.868634,2.642819,2.4288,2.223592,2.03066,1.861737,1.732914,1.656739,1.633063,1.642802,1.651669,1.625854,1.550652,1.440116,1.332987,1.276608,1.304452,1.419766,1.599385,1.816246,2.062028,2.358406,2.763906,3.376452,4.311508,5.656952,7.457533,9.764675,12.67341,16.21002,20.08191,23.53559,25.57439,25.47092,23.18733,19.36781,14.94892,10.73234,7.194283,4.523493,2.719719,1.653991,1.114563,0.8760534,0.768504,0.7026899,0.6493853,0.6057373,0.5736504,0.5515274,0.5336598,0.5149259,0.4964243,0.4848989,0.4854872,0.4964245,0.5121606,0.5302486,0.5529938,0.5827983,0.6185798,0.6579881,0.7011349,0.7494237,0.8004835,0.8462518,0.8774735,0.8898514,0.8855873,0.8701643,0.8490704,0.8272427,0.8095899,0.8002342,0.8007139,0.8089566,0.8197219,0.8259872,0.8208565,0.7997996,0.7623144,0.711679,0.6528011,0.5900624,0.5269179,0.4666488,0.4122305,0.3649319,0.3237457,0.2871274,0.2553248,0.2303266,0.2132615,0.2022448,0.1931025,0.1822213,0.1689438,0.1557549,0.1462487,0.1423021,0.1426623,0.1442816,0.1450702,0.1451126,0.1453475,0.1459193,0.1463662,0.1467976,0.1479192,0.1499039,0.1519293,0.1529792,0.1526125,0.150835,0.1477094,0.1433517,0.1380091,0.131953,0.1255552,0.1195957,0.1151139,0.1126018,0.1114695,0.110601,0.1094881,0.108753,0.1095636,0.1124546,0.1164865,0.1194964,0.1194415,0.1157915,0.1097047,0.1029105,0.09654979,0.09102042,0.08657636,0.08373283,0.08299742,0.08419333,0.08604445,0.0866642,0.08489528,0.08135942,0.07801142,0.07656099,0.07746133,0.08028027,0.0843913,0.08886725,0.09215983,0.0927358,0.09033307,0.08633972,0.08280785,0.08118412,0.0817854,0.08391313,0.08615403,0.08691958,0.0853039,0.08171506,0.07759748,0.07432042,0.07208052,0.06963871,0.06506954,0.05701839
4.294318,9.315898,11.06543,12.8428,13.74461,13.44582,12.21347,10.56756,8.933806,7.513157,6.341971,5.396037,4.645717,4.064533,3.625586,3.301866,3.069576,2.912223,2.82265,2.799356,2.839583,2.938049,3.093531,3.311923,3.594599,3.921425,4.255581,4.58439,4.968289,5.539125,6.413483,7.564252,8.757039,9.633374,9.909941,9.555644,8.808969,8.016173,7.40867,6.981479,6.55092,5.930576,5.081831,4.131537,3.266908,2.611095,2.174962,1.895311,1.699661,1.541889,1.402597,1.278618,1.176686,1.107728,1.077547,1.079315,1.094986,1.104863,1.098028,1.076498,1.051068,1.033301,1.030603,1.046268,1.079714,1.123794,1.164341,1.187735,1.191485,1.185812,1.183213,1.186764,1.188133,1.174774,1.138602,1.081241,1.014128,0.9520234,0.9022793,0.8591483,0.8104811,0.7509753,0.6877664,0.6330037,0.5930497,0.5658386,0.546373,0.531954,0.5223376,0.5173123,0.5154655,0.5145958,0.512494,0.5076519,0.4999886,0.4912031,0.4842003,0.4815354,0.483448,0.486701,0.4856077,0.4752933,0.455083,0.4293002,0.4047738,0.386945,0.3772128,0.3728786,0.3692366,0.3622601,0.3504215,0.3351315,0.3200147,0.3092405,0.3053511,0.3079779,0.3148739,0.3244082,0.3364903,0.3504812,0.3627276,0.3674135,0.3605666,0.3432404,0.3209006,0.3000427,0.2849936,0.2766307,0.2730311,0.2713127,0.2695052,0.2672528,0.2652077,0.2641707,0.2646846,0.2666845,0.2690092,0.2696449,0.2671511,0.2619658,0.2560751,0.2514802,0.2491177,0.2487404,0.2490207,0.2478817,0.2439211,0.2383941,0.2352956,0.2382186,0.2464544,0.2545452,0.2564653,0.2507686,0.241719,0.2352654,0.2338319,0.2349141,0.2343428,0.2303154,0.2242106,0.2183852,0.2142044,0.21208,0.2121676,0.2140855,0.2162477,0.2162886,0.2124805,0.2048029,0.1950844,0.1865649,0.1828051,0.1856488,0.1933228,0.2008049,0.2028631,0.1971761,0.1846373,0.1670083,0.1448751
1.572877,3.489115,4.335402,5.249888,5.809081,5.819291,5.356709,4.645531,3.900564,3.245243,2.719033,2.318393,2.023486,1.806882,1.64001,1.501141,1.378084,1.264494,1.15609,1.050644,0.9498328,0.860043,0.7905777,0.7487454,0.7340594,0.736487,0.7409391,0.7340294,0.7084189,0.6648675,0.6132709,0.5701526,0.5512881,0.5660778,0.62208,0.7386687,0.9608674,1.36556,2.050107,3.085443,4.430426,5.857059,6.975482,7.397844,6.955085,5.804195,4.335703,2.954457,1.899617,1.209023,0.7998807,0.5675218,0.4365206,0.3647088,0.3299282,0.3187264,0.3204238,0.3255647,0.3274271,0.3236369,0.3154131,0.3051284,0.2942974,0.2828183,0.2694194,0.2533014,0.2360094,0.2214924,0.2137721,0.2143238,0.2214229,0.2313341,0.2399566,0.2443912,0.2443438,0.2424424,0.2426401,0.2476637,0.2575631,0.270283,0.2833883,0.2954907,0.3064413,0.3162205,0.3235516,0.3257621,0.3202818,0.306349,0.285376,0.2601743,0.2342341,0.2112466,0.1940964,0.183429,0.1771954,0.1720704,0.165786,0.1584631,0.1519172,0.1476121,0.1450477,0.1420154,0.1364793,0.1282926,0.1192475,0.1117271,0.1073041,0.1060593,0.1066035,0.1068553,0.1054963,0.1030182,0.1010626,0.100534,0.1006609,0.1001291,0.09879134,0.09786369,0.09860592,0.1011848,0.1047031,0.1078277,0.1092626,0.1081102,0.1043436,0.09905551,0.09399638,0.0905285,0.08876102,0.08760353,0.08578648,0.08303351,0.08030096,0.07879591,0.0787233,0.07903018,0.07836577,0.07626466,0.07349786,0.07144938,0.07113038,0.07252511,0.07465983,0.07635597,0.07712338,0.07743835,0.07814174,0.07954299,0.08109909,0.08191998,0.08153983,0.08022626,0.07861974,0.07711431,0.07557119,0.07359774,0.07106621,0.06831963,0.06588434,0.06406867,0.06289151,0.06230276,0.06231165,0.06288619,0.06387439,0.06511542,0.06653572,0.06802737,0.06930395,0.07004968,0.0702552,0.07029096,0.07055325,0.07105831,0.0714126,0.0711184,0.06981888,0.06724431,0.06301731,0.05665684,0.04793131
4.121521,8.854491,10.37258,12.03617,13.07307,13.08983,12.18182,10.74809,9.200515,7.786884,6.601945,5.690535,5.105093,4.87415,4.946026,5.186294,5.439794,5.60707,5.681791,5.730038,5.826082,5.982695,6.124918,6.135516,5.943945,5.583274,5.16005,4.764257,4.406925,4.042487,3.642907,3.241168,2.904346,2.67491,2.543029,2.467069,2.410025,2.359769,2.333767,2.386267,2.62371,3.211184,4.337191,6.111242,8.418926,10.83548,12.71794,13.48549,12.92257,11.28128,9.108369,6.944707,5.120106,3.737399,2.76847,2.14079,1.770753,1.573645,1.47875,1.442758,1.446386,1.478686,1.52576,1.571942,1.607479,1.632248,1.650897,1.663983,1.664428,1.643284,1.598123,1.534143,1.457442,1.370178,1.274201,1.177522,1.093517,1.032145,0.9926192,0.9648018,0.9364676,0.8993418,0.8514338,0.797303,0.7461178,0.7060617,0.6781209,0.6560922,0.6341022,0.6132737,0.5992055,0.593322,0.5891511,0.5781872,0.5578362,0.5320077,0.5047605,0.4754469,0.4407092,0.4000774,0.3585481,0.3236603,0.3002484,0.2876156,0.2810578,0.2757309,0.2692821,0.2615316,0.2526188,0.2420925,0.229673,0.2163544,0.204409,0.1962308,0.1930024,0.1941694,0.1980337,0.202915,0.2078424,0.2122699,0.2154297,0.2163157,0.214412,0.2103346,0.2056862,0.2021727,0.200495,0.1996826,0.1975641,0.1924736,0.184999,0.1780284,0.1748014,0.176774,0.1831926,0.1921514,0.201378,0.2081042,0.2093166,0.2034438,0.1922403,0.1805509,0.1735628,0.1738204,0.1803849,0.1901737,0.1997255,0.2061574,0.2075182,0.2031502,0.1940533,0.1828007,0.1726662,0.166069,0.163132,0.1616458,0.1589567,0.1543414,0.1495415,0.1469597,0.1475867,0.1507008,0.1548953,0.1586886,0.1604673,0.159002,0.1546693,0.1496861,0.1464179,0.1454121,0.145387,0.1449871,0.1440815,0.1433841,0.1434071,0.1440599,0.1447195,0.1439976,0.1394911,0.1285509,0.1100588
1.641846,3.64249,4.51876,5.438529,5.938097,5.806256,5.145725,4.258795,3.461269,2.936133,2.688183,2.597719,2.522055,2.378067,2.164837,1.932133,1.732611,1.593938,1.519859,1.502877,1.529077,1.575932,1.617488,1.638691,1.642747,1.643489,1.657288,1.708316,1.838601,2.110656,2.610942,3.462196,4.818681,6.80685,9.422958,12.45735,15.51139,18.11489,19.89548,20.71761,20.70043,20.07706,18.98746,17.38901,15.18313,12.43973,9.48912,6.784226,4.663767,3.217919,2.327477,1.793265,1.444924,1.18523,0.9830705,0.8412278,0.762935,0.7363247,0.7401815,0.7569101,0.7784321,0.8037665,0.8343599,0.8707605,0.911374,0.9531322,0.9921805,1.02347,1.042524,1.051483,1.062152,1.086672,1.121457,1.143609,1.128023,1.068812,0.9829751,0.8948508,0.819329,0.7579561,0.7056201,0.658039,0.6148407,0.5784907,0.5508192,0.5297446,0.5093746,0.4840179,0.4523599,0.4176622,0.3841358,0.3534542,0.3246752,0.29707,0.2725371,0.2549169,0.2468417,0.2473976,0.252945,0.260056,0.2676846,0.2770131,0.2895771,0.3050157,0.3197984,0.3282709,0.3260801,0.3134803,0.29536,0.277847,0.2647326,0.2565219,0.2517516,0.2485903,0.2457374,0.2426606,0.2391737,0.2346461,0.227922,0.2184472,0.2073058,0.1966267,0.1879225,0.1813248,0.1762751,0.1723089,0.1690085,0.1658653,0.162783,0.1604689,0.1597427,0.1603305,0.1605936,0.1585604,0.1532418,0.1452275,0.1363914,0.1289748,0.1244408,0.1227935,0.1229597,0.1238746,0.1251127,0.1265168,0.1276375,0.1279879,0.1278273,0.1282116,0.1298661,0.1320289,0.1327218,0.1304278,0.1256231,0.1207164,0.118471,0.1202372,0.1252494,0.1312788,0.136057,0.1385093,0.1389831,0.1383479,0.1368356,0.1338155,0.1287483,0.1222201,0.1158744,0.1113623,0.1094882,0.1102386,0.1132266,0.1178386,0.12315,0.1281424,0.1322204,0.1353529,0.1374054,0.1372034,0.1324123,0.1207365,0.1017049
3.980077,8.784355,10.78751,12.85535,13.90398,13.47358,11.87079,9.838949,8.057368,6.82463,6.068059,5.557297,5.104472,4.633742,4.149848,3.687613,3.28289,2.958984,2.717983,2.539843,2.392652,2.249506,2.103617,1.973709,1.894652,1.896006,1.980144,2.114121,2.244114,2.329146,2.374088,2.435395,2.593079,2.913917,3.443195,4.260809,5.634227,8.227166,13.12448,21.31511,32.61481,44.76079,53.77926,55.93561,50.07073,38.45031,25.3553,14.56001,7.651436,4.1327,2.648419,2.072813,1.840703,1.757025,1.753946,1.790701,1.841836,1.897892,1.961125,2.036344,2.118112,2.186128,2.2161,2.194039,2.120185,2.00492,1.864923,1.719884,1.588505,1.486728,1.427561,1.41679,1.446308,1.495503,1.542848,1.57568,1.589488,1.583293,1.560097,1.529549,1.505481,1.4991,1.513406,1.540172,1.559055,1.542531,1.468726,1.334574,1.158232,0.9691676,0.7947819,0.6521132,0.5465386,0.4751939,0.4317882,0.4094258,0.4004129,0.396035,0.3892551,0.3782743,0.366323,0.357283,0.3517323,0.3469466,0.3396774,0.328519,0.314318,0.2989827,0.2838311,0.2688363,0.2534401,0.2379794,0.2240876,0.2137213,0.2078912,0.206025,0.2061253,0.2056936,0.2031561,0.1988527,0.1947525,0.1932777,0.1962259,0.2039954,0.2148445,0.2247757,0.2290482,0.2248757,0.2132601,0.1984414,0.1854728,0.1776554,0.1752501,0.1759015,0.1762819,0.1738431,0.1677099,0.1585924,0.1482303,0.138721,0.1317983,0.1283094,0.128231,0.1310713,0.1360879,0.1421362,0.1476352,0.1510965,0.1519654,0.1510271,0.1498582,0.1495555,0.1496996,0.148536,0.1444247,0.1374077,0.1295449,0.1237076,0.1217815,0.1235883,0.1272389,0.130605,0.1327569,0.1341941,0.1357559,0.1374014,0.1381611,0.137254,0.1350919,0.1330948,0.1325652,0.1337653,0.1359514,0.1380729,0.1393462,0.1393467,0.137859,0.1346895,0.1293091,0.1204571,0.1064609
4.720318,10.09236,11.67601,13.30443,14.09672,13.63823,12.09865,10.0036,7.890238,6.091185,4.717605,3.748642,3.111902,2.718102,2.474026,2.296937,2.130396,1.953036,1.774787,1.619808,1.504813,1.428963,1.381769,1.355463,1.345499,1.34257,1.332792,1.309967,1.284857,1.2786,1.305977,1.364078,1.434838,1.498487,1.548481,1.596719,1.66303,1.756947,1.870333,1.99001,2.116115,2.26289,2.437892,2.621589,2.771123,2.848001,2.84631,2.797596,2.74795,2.724768,2.718615,2.69385,2.618048,2.485129,2.315858,2.142011,1.991134,1.878898,1.804926,1.752036,1.695923,1.623536,1.543167,1.473811,1.424886,1.388494,1.349505,1.297853,1.230438,1.147773,1.05483,0.9635577,0.8885818,0.8375421,0.8066958,0.7865385,0.7704115,0.7572194,0.7476251,0.7397568,0.7294482,0.7145502,0.698289,0.6868491,0.6822662,0.6780065,0.6630884,0.6313225,0.5862263,0.5372317,0.4924332,0.4554507,0.4275369,0.4101135,0.4039472,0.4063054,0.4102274,0.4078819,0.3954332,0.3748293,0.350971,0.3276455,0.306374,0.2880847,0.274165,0.2652819,0.2599874,0.2552324,0.2482592,0.2381851,0.2265188,0.2164183,0.2107086,0.209956,0.2126503,0.2173678,0.2240164,0.2324604,0.2407341,0.2458038,0.2461365,0.2427727,0.2377781,0.2322623,0.2260492,0.2186542,0.2101922,0.2016342,0.1944489,0.1897649,0.187619,0.1870885,0.1871939,0.1874676,0.1876111,0.1869882,0.1848071,0.1807306,0.1751074,0.1686602,0.1620771,0.155814,0.1501211,0.1453274,0.1422919,0.1425215,0.1474544,0.1571807,0.1696553,0.1812913,0.1887701,0.1908741,0.1890483,0.1863188,0.1854001,0.1873035,0.1911814,0.1951497,0.1973271,0.1965545,0.1927179,0.1867858,0.1805385,0.1758673,0.173801,0.1738872,0.1745346,0.1741257,0.1719369,0.1681957,0.1636791,0.1596204,0.157791,0.1598618,0.1659252,0.1735099,0.1784023,0.1767935,0.166898,0.1489773,0.1245488
2.621597,5.688387,6.783062,7.944791,8.57805,8.379368,7.43936,6.114323,4.793056,3.722106,2.968495,2.485363,2.196655,2.043844,1.988291,1.993073,2.011887,1.999754,1.937832,1.846763,1.769701,1.736325,1.741223,1.756351,1.762309,1.766786,1.796681,1.877241,2.01701,2.203836,2.407845,2.589919,2.71563,2.767774,2.747821,2.666976,2.538423,2.377763,2.205674,2.045408,1.918359,1.84323,1.833128,1.881962,1.949751,1.971509,1.895964,1.723608,1.505938,1.305281,1.154468,1.051026,0.9803883,0.9366019,0.9222498,0.9373228,0.9747776,1.026396,1.089418,1.166253,1.258957,1.364843,1.477032,1.588524,1.694943,1.792064,1.870208,1.913354,1.908337,1.858225,1.786023,1.72181,1.683022,1.665309,1.650885,1.624546,1.583021,1.533082,1.484349,1.443565,1.412358,1.387818,1.365031,1.339468,1.306924,1.262228,1.201237,1.126574,1.050079,0.9857793,0.9385038,0.9007529,0.8622117,0.8213652,0.7862885,0.7649429,0.756934,0.7548591,0.7514599,0.7444748,0.7365654,0.7325014,0.7350582,0.7405827,0.7381139,0.7157867,0.6709859,0.6145192,0.563689,0.5303218,0.5142848,0.5064894,0.496904,0.4811095,0.4618944,0.4455381,0.4352999,0.4274547,0.4142598,0.3917595,0.3646095,0.3427038,0.3329521,0.3341497,0.3388855,0.3395598,0.333159,0.3219787,0.3109334,0.3038853,0.3015344,0.3020979,0.303785,0.3066046,0.3118359,0.3197744,0.3279893,0.3319613,0.3280772,0.3168613,0.3036103,0.2952382,0.29536,0.3016722,0.308113,0.3099723,0.3071914,0.3028874,0.2991489,0.2949167,0.2880437,0.27868,0.2699336,0.2653985,0.2665139,0.2719718,0.278711,0.283363,0.283932,0.2811887,0.278314,0.2784438,0.2822466,0.2877596,0.292055,0.2928146,0.2892566,0.2829855,0.2781535,0.2795165,0.289029,0.3039194,0.3181288,0.3258196,0.3243419,0.3151508,0.3023736,0.2894549,0.2757844,0.2563373,0.2254938
2.308747,5.085251,6.248389,7.528096,8.3317,8.342574,7.609236,6.429167,5.15139,4.029437,3.175525,2.589025,2.210975,1.972859,1.824534,1.736329,1.684229,1.639051,1.573061,1.475072,1.355201,1.234496,1.131454,1.056059,1.010232,0.9902436,0.9908385,1.009789,1.047709,1.102589,1.167766,1.239754,1.328429,1.455332,1.637629,1.87592,2.174651,2.605383,3.369003,4.760623,6.972828,9.822529,12.63557,14.47697,14.64268,13.0695,10.35265,7.376556,4.857634,3.103357,2.059675,1.505802,1.224699,1.075927,0.9911902,0.9418152,0.9129866,0.8948097,0.8818448,0.8701892,0.8527947,0.8215526,0.7764615,0.7303534,0.701071,0.6978691,0.7152188,0.7382721,0.7530044,0.7526845,0.7384414,0.7165092,0.6948531,0.6798963,0.6733381,0.6705778,0.6632354,0.6453286,0.6179206,0.5873387,0.5590636,0.5345079,0.5136585,0.4984649,0.4913646,0.4908668,0.4906973,0.4844207,0.4705676,0.4530483,0.4371752,0.4256316,0.4176466,0.4109871,0.404039,0.3959085,0.3851938,0.3698983,0.3493795,0.3260612,0.3044012,0.2880566,0.2784369,0.2755213,0.27858,0.2853655,0.2917757,0.2940693,0.2918492,0.2880998,0.2858537,0.2851422,0.2833333,0.2779455,0.2688516,0.2582592,0.2490647,0.2428823,0.2389029,0.234519,0.2275057,0.2177861,0.2068544,0.1955935,0.1833364,0.1694584,0.1553836,0.1442682,0.1385987,0.1384065,0.1417167,0.1461535,0.1498999,0.1517167,0.1509032,0.1476642,0.1434063,0.1403145,0.1401321,0.1428212,0.1462187,0.1473274,0.1444776,0.1385228,0.1319671,0.1269483,0.1240338,0.1226595,0.1222159,0.1224283,0.1229364,0.1230531,0.12228,0.1209652,0.120168,0.1207757,0.1228571,0.1258332,0.1289089,0.1310713,0.131031,0.1279606,0.1227088,0.1179534,0.1165363,0.1192912,0.1243599,0.1284919,0.1291203,0.125811,0.1204777,0.1163289,0.1159552,0.1196406,0.1251629,0.1292446,0.1293752,0.1245822,0.1150043,0.1012096,0.08402953
3.111261,6.914829,8.685932,10.77238,12.32914,12.81612,12.18346,10.78238,9.108205,7.562342,6.351303,5.51418,5.002574,4.749835,4.704265,4.824973,5.056708,5.312893,5.488285,5.494395,5.291972,4.902533,4.398314,3.876366,3.423497,3.085045,2.854931,2.692897,2.554644,2.413054,2.260739,2.101405,1.94282,1.796617,1.680633,1.617447,1.627457,1.718801,1.876724,2.056569,2.189563,2.208662,2.084761,1.84607,1.56095,1.296656,1.088672,0.9409977,0.8448536,0.7909083,0.7675153,0.7570705,0.7409363,0.7091295,0.6648693,0.6203356,0.5876862,0.5715247,0.5672654,0.5661662,0.5627334,0.5576952,0.5540166,0.5509566,0.543088,0.5251156,0.4969628,0.464137,0.4338912,0.4110936,0.3964169,0.3868863,0.3779684,0.3664174,0.3524405,0.339405,0.3309911,0.3281867,0.3287381,0.3291025,0.3266825,0.3206293,0.3114116,0.3000379,0.28727,0.273105,0.2571556,0.2398611,0.2231769,0.2096719,0.200872,0.1965822,0.1955502,0.1963845,0.1979941,0.1997415,0.2013296,0.2021039,0.2003522,0.1939403,0.1822571,0.1673709,0.1527954,0.1410709,0.1326911,0.1270294,0.1236172,0.1223428,0.1229158,0.1246221,0.1266165,0.1283333,0.1296685,0.1308101,0.131742,0.1318566,0.1302872,0.1268784,0.122766,0.1197476,0.1189235,0.1198841,0.1211164,0.1211264,0.1193022,0.1159596,0.1117862,0.1073924,0.1034309,0.1008846,0.1007037,0.1028337,0.1058314,0.1078897,0.1083153,0.1077388,0.1068745,0.1055088,0.103007,0.0995444,0.09634564,0.09458074,0.09425129,0.09429837,0.09368351,0.09225682,0.09068801,0.08976755,0.08983395,0.09071092,0.09196714,0.09316149,0.09399322,0.09442489,0.0946951,0.09507579,0.09555303,0.09584368,0.09579711,0.09566604,0.09583571,0.09630974,0.09658595,0.09605751,0.09447408,0.09204586,0.08924621,0.08659443,0.0845603,0.08354907,0.08385915,0.08553681,0.08819292,0.09099668,0.09295769,0.09327056,0.09139688,0.08691156,0.0794706,0.06907587,0.05637639
