Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37,Var1_38,Var1_39,Var1_40,Var1_41,Var1_42,Var1_43,Var1_44,Var1_45,Var1_46,Var1_47,Var1_48,Var1_49,Var1_50,Var1_51,Var1_52,Var1_53,Var1_54,Var1_55,Var1_56,Var1_57,Var1_58,Var1_59,Var1_60,Var1_61,Var1_62,Var1_63,Var1_64,Var1_65,Var1_66,Var1_67,Var1_68,Var1_69,Var1_70,Var1_71,Var1_72,Var1_73,Var1_74,Var1_75,Var1_76,Var1_77,Var1_78,Var1_79,Var1_80,Var1_81,Var1_82,Var1_83,Var1_84,Var1_85,Var1_86,Var1_87,Var1_88,Var1_89,Var1_90,Var1_91,Var1_92,Var1_93,Var1_94,Var1_95,Var1_96,Var1_97,Var1_98,Var1_99,Var1_100,Var1_101,Var1_102,Var1_103,Var1_104,Var1_105,Var1_106,Var1_107,Var1_108,Var1_109,Var1_110,Var1_111,Var1_112,Var1_113,Var1_114,Var1_115,Var1_116,Var1_117,Var1_118,Var1_119,Var1_120,Var1_121,Var1_122,Var1_123,Var1_124,Var1_125,Var1_126,Var1_127,Var1_128,Var1_129,Var1_130,Var1_131,Var1_132,Var1_133,Var1_134,Var1_135,Var1_136,Var1_137,Var1_138,Var1_139,Var1_140,Var1_141,Var1_142,Var1_143,Var1_144,Var1_145,Var1_146,Var1_147,Var1_148,Var1_149,Var1_150,Var1_151,Var1_152,Var1_153,Var1_154,Var1_155,Var1_156,Var1_157,Var1_158,Var1_159,Var1_160,Var1_161,Var1_162,Var1_163,Var1_164,Var1_165,Var1_166,Var1_167,Var1_168,Var1_169,Var1_170,Var1_171,Var1_172,Var1_173,Var1_174,Var1_175,Var1_176,Var1_177,Var1_178,Var1_179,Var1_180,Var1_181
1.611795,3.599776,4.536867,5.58276,6.297915,6.479199,6.195268,5.655403,5.047502,4.462557,3.918927,3.419631,2.980081,2.61814,2.336223,2.118718,1.942903,1.79029,1.651598,1.52636,1.419027,1.332618,1.263881,1.20502,1.151074,1.104671,1.072189,1.056017,1.052673,1.058069,1.070652,1.086432,1.093213,1.075411,1.027806,0.9634319,0.905651,0.8716156,0.8625397,0.8673638,0.873269,0.873267,0.866939,0.8566297,0.8435998,0.8275329,0.8092067,0.7924055,0.781642,0.7775251,0.7751169,0.7672987,0.7495646,0.7221926,0.689685,0.6590477,0.6368294,0.6249651,0.6186235,0.6095292,0.5929446,0.571844,0.5542184,0.5462255,0.5472788,0.5505523,0.5477459,0.534316,0.5115965,0.4846452,0.4580271,0.4333116,0.4099443,0.3874637,0.3661063,0.3455323,0.3239932,0.2995708,0.2724273,0.2456828,0.223811,0.2096907,0.2025991,0.198676,0.1934678,0.1846302,0.1729098,0.1609924,0.1513662,0.1448687,0.1408565,0.1385297,0.1379337,0.139558,0.14307,0.1467899,0.1486417,0.1475413,0.1437679,0.1382234,0.1316769,0.1247169,0.1180739,0.1126841,0.1093387,0.1081777,0.1084046,0.1085746,0.1074576,0.1048414,0.1015149,0.0984728,0.09618051,0.0944931,0.09298383,0.0912191,0.08895703,0.08638535,0.08414108,0.08283025,0.08239216,0.08203484,0.0809252,0.07896657,0.07687582,0.07550022,0.07507051,0.07511713,0.07506564,0.07481182,0.07463249,0.07459944,0.07427238,0.0730795,0.07094369,0.0684761,0.06662642,0.06618908,0.06747776,0.07020828,0.07359046,0.07662927,0.07846672,0.07855441,0.07668542,0.07304816,0.06826783,0.06327413,0.05904901,0.05644515,0.05602479,0.0577427,0.06068639,0.06337004,0.06457584,0.06402017,0.06227652,0.06022695,0.05863936,0.05798151,0.0582581,0.05897147,0.05947777,0.05951497,0.05930024,0.05909086,0.05881777,0.05825827,0.05745024,0.05679253,0.05676742,0.05762467,0.05922982,0.06107201,0.06247064,0.0629702,0.06258733,0.06152259,0.05952553,0.05566349,0.04894638
1.190032,2.658915,3.358188,4.149816,4.705741,4.862723,4.659657,4.249702,3.777093,3.313112,2.874233,2.471076,2.127427,1.860802,1.663133,1.510352,1.386523,1.291501,1.227607,1.187548,1.158273,1.131471,1.106467,1.085521,1.069855,1.058855,1.049801,1.038422,1.022196,1.004254,0.9946243,1.011094,1.083856,1.259477,1.590503,2.102398,2.750538,3.400424,3.86182,3.9736,3.690889,3.111851,2.421463,1.793769,1.322127,1.013869,0.8297633,0.7247115,0.6654797,0.6304476,0.605797,0.5843303,0.5649577,0.5503456,0.5430678,0.5423514,0.5433835,0.5396818,0.5270246,0.5064352,0.4843429,0.4694969,0.4679235,0.4790022,0.4959854,0.5112025,0.5217692,0.5307013,0.5426816,0.5588619,0.5755705,0.5873908,0.5907974,0.5848198,0.5693338,0.5444638,0.5125253,0.4794835,0.4523788,0.4342034,0.4218644,0.4098845,0.3956771,0.3805771,0.3664774,0.353049,0.3386371,0.3225591,0.3053345,0.2870345,0.2665969,0.2432909,0.21857,0.1961467,0.1800226,0.1719516,0.1701783,0.1704647,0.1687822,0.1636578,0.1564397,0.1496787,0.1452599,0.1434529,0.142873,0.1411591,0.1364428,0.1289775,0.1213611,0.1166469,0.115935,0.1177719,0.1196546,0.1197514,0.1173732,0.112695,0.106742,0.1013911,0.09853388,0.09872651,0.1007311,0.102549,0.102916,0.1018976,0.1003742,0.09920245,0.09873578,0.09878458,0.09880038,0.09813187,0.09629129,0.0932082,0.08943458,0.0861612,0.08483541,0.08636311,0.09031531,0.09481613,0.0974674,0.09685355,0.09350783,0.08944026,0.08651298,0.08507486,0.08407769,0.08240764,0.07995783,0.07742609,0.07534026,0.07355622,0.0716617,0.06956548,0.06751367,0.06569988,0.06415596,0.0630822,0.06305229,0.06463525,0.06773343,0.0713146,0.07381485,0.07391024,0.07120434,0.06650703,0.06150362,0.05787876,0.05644036,0.05693122,0.05858961,0.06076512,0.06300455,0.06481843,0.06567921,0.06530327,0.06381315,0.0615989,0.05907028,0.0564238,0.05339418,0.04918486,0.04292121
1.537341,3.42463,4.290987,5.240816,5.854065,5.938534,5.56463,4.941815,4.265396,3.642212,3.105339,2.658416,2.299429,2.02192,1.815274,1.671704,1.589024,1.562133,1.572791,1.591769,1.593903,1.571662,1.534274,1.494888,1.460158,1.431851,1.415516,1.423871,1.469694,1.554762,1.665177,1.77807,1.876403,1.961889,2.053714,2.168896,2.298139,2.402339,2.440452,2.406942,2.341366,2.296895,2.296431,2.318475,2.324156,2.295578,2.248065,2.20912,2.189387,2.173218,2.132815,2.049135,1.922553,1.769653,1.612945,1.471226,1.354851,1.26698,1.208712,1.18268,1.190315,1.224733,1.267944,1.298572,1.304986,1.291287,1.270081,1.250113,1.23178,1.213358,1.197916,1.191267,1.193514,1.195219,1.183962,1.155085,1.115762,1.078542,1.050812,1.029889,1.007399,0.9782299,0.9463955,0.9239631,0.9243181,0.9531977,1.001496,1.045034,1.055031,1.015196,0.9329416,0.8345851,0.7483692,0.6898824,0.6599053,0.6512474,0.6551164,0.6632385,0.6686369,0.6673193,0.6591337,0.6460804,0.6296895,0.6101815,0.5877609,0.5640587,0.5418279,0.5229396,0.5066642,0.4904566,0.4730107,0.4562779,0.4435676,0.4353907,0.4280218,0.417058,0.402361,0.3890066,0.3832226,0.3874505,0.3989492,0.4123994,0.4234339,0.4300281,0.4314439,0.4268842,0.4158791,0.4000078,0.3836357,0.3721551,0.3688081,0.3726205,0.3790363,0.3828201,0.3813247,0.3758506,0.369821,0.3649865,0.3591118,0.3477635,0.3288319,0.305385,0.2840478,0.270676,0.267405,0.2730127,0.2850008,0.3008499,0.3177305,0.3319078,0.3392777,0.3372574,0.3267976,0.3126257,0.3008221,0.2951403,0.29503,0.2970418,0.2981368,0.2977549,0.297136,0.2972172,0.2973634,0.2958305,0.291233,0.283767,0.2752725,0.268016,0.2631348,0.2601709,0.2580576,0.2562517,0.254658,0.2528367,0.2501325,0.2468888,0.2447483,0.2445308,0.2433168,0.2342863,0.2107576
1.245633,2.920578,4.016631,5.311855,6.311692,6.719696,6.513606,5.866618,5.005089,4.104828,3.267979,2.552173,1.997301,1.621731,1.40454,1.287071,1.20319,1.114201,1.019411,0.9386644,0.8878486,0.8681837,0.8716164,0.8902661,0.9191421,0.952042,0.9784552,0.9875841,0.9768823,0.9561396,0.9415331,0.9441921,0.9633895,0.9894085,1.011871,1.026269,1.035753,1.049379,1.077878,1.127513,1.195108,1.268899,1.335337,1.385368,1.41463,1.420501,1.403337,1.371601,1.341178,1.323332,1.311264,1.281551,1.212664,1.10366,0.9752548,0.8539814,0.7558278,0.6823958,0.6277347,0.5857234,0.5521859,0.5237248,0.4973334,0.4715886,0.4474039,0.4268647,0.4110633,0.3990793,0.3890713,0.3801765,0.3731042,0.3689504,0.3678774,0.3692527,0.3727357,0.378487,0.3860307,0.3935303,0.3990507,0.4026141,0.4061977,0.4111254,0.4160071,0.418188,0.4171319,0.4151869,0.4143622,0.413187,0.4079444,0.3969612,0.3826951,0.3692453,0.3585444,0.3495907,0.3409085,0.3328263,0.3270953,0.3247502,0.3247379,0.3245952,0.3223695,0.3180526,0.3133825,0.3101679,0.3084465,0.3060674,0.3003702,0.2908146,0.2800933,0.2721806,0.2688002,0.2678912,0.2659167,0.2616166,0.2570567,0.2549116,0.2551807,0.2548983,0.2508356,0.242263,0.2314236,0.2218048,0.2157699,0.2130796,0.2111554,0.2069445,0.1991193,0.1890417,0.1799577,0.1752236,0.1766794,0.1837478,0.1934967,0.201837,0.2055444,0.2039636,0.199155,0.1943286,0.1917233,0.1914256,0.1917898,0.190927,0.1880474,0.1837066,0.1789923,0.1746023,0.1707509,0.1678961,0.1673025,0.170497,0.1778065,0.1872984,0.1953737,0.1988539,0.196966,0.191626,0.1859312,0.1821996,0.1809171,0.1809135,0.18033,0.1778876,0.1738925,0.1701844,0.1687286,0.1699492,0.1725335,0.1749889,0.1771525,0.1798929,0.1835459,0.1871854,0.1896296,0.1908572,0.1921575,0.1949166,0.1991319,0.2025365,0.2007612,0.1889239,0.1644412
2.142335,4.848034,6.244384,7.777426,8.764176,8.884077,8.251016,7.23053,6.188149,5.334703,4.706645,4.227299,3.790117,3.330281,2.858324,2.438173,2.127949,1.933997,1.813816,1.714816,1.609023,1.500268,1.409749,1.356335,1.342657,1.352571,1.36086,1.348131,1.309233,1.250163,1.179534,1.103715,1.027812,0.9577532,0.8991027,0.8535137,0.817349,0.7849742,0.7541161,0.7282891,0.7145599,0.7196418,0.7479539,0.8020926,0.8837087,0.992572,1.122493,1.2555,1.360407,1.40253,1.362294,1.249075,1.097501,0.9482414,0.8281745,0.7425184,0.6798761,0.6238764,0.5648406,0.5058982,0.4593864,0.4353692,0.4317929,0.4354833,0.4328228,0.4195251,0.4010045,0.385171,0.3760077,0.3730479,0.3744906,0.3789366,0.3843469,0.3871429,0.3839519,0.3745415,0.3624249,0.352096,0.3456164,0.3418393,0.3385897,0.3352224,0.3329861,0.3331125,0.3348694,0.3357399,0.3335049,0.3278786,0.3200137,0.3108458,0.3004658,0.2890109,0.2775229,0.2676151,0.2605951,0.2570876,0.2570412,0.2595167,0.262527,0.2636613,0.2613238,0.2555383,0.2477275,0.2398996,0.2338483,0.2304609,0.2291348,0.2277963,0.2240672,0.2171151,0.2086385,0.2017561,0.1984812,0.1980453,0.1977193,0.1953828,0.1914562,0.1885637,0.1894327,0.1948611,0.2032232,0.2116294,0.2176259,0.2200507,0.2186379,0.2133697,0.2047545,0.1947427,0.186657,0.1833258,0.1848286,0.1881626,0.1894522,0.1868544,0.1816879,0.1770295,0.1752321,0.1764713,0.1791932,0.1815748,0.1825319,0.1817146,0.1791449,0.1753184,0.1716813,0.1705681,0.1739796,0.1818752,0.1915977,0.1993801,0.2028926,0.2025753,0.2006718,0.1992344,0.1991068,0.2002593,0.2022559,0.2041449,0.2044923,0.2022318,0.197672,0.1925642,0.1891816,0.1892315,0.1930782,0.1993054,0.2049833,0.2070835,0.2043828,0.1981625,0.1908938,0.1842064,0.1781802,0.1723731,0.1670353,0.1629777,0.160291,0.1573636,0.1512179,0.1389458,0.1193216
3.494748,7.532707,8.87133,10.32925,11.27311,11.44054,10.96926,10.18883,9.37914,8.651641,7.978692,7.298012,6.595166,5.910197,5.289869,4.74967,4.280015,3.87135,3.519793,3.215554,2.942558,2.694063,2.48009,2.314583,2.200518,2.131774,2.104899,2.122239,2.182921,2.274852,2.380042,2.493051,2.640075,2.882798,3.303157,3.984772,5.008284,6.450926,8.357814,10.67229,13.16339,15.41688,16.93141,17.29922,16.38884,14.42227,11.88361,9.303232,7.053783,5.279068,3.959811,3.019597,2.382885,1.978656,1.73277,1.574241,1.447754,1.321175,1.187813,1.062558,0.9677519,0.9142402,0.8932936,0.8864831,0.8815776,0.8776162,0.8764952,0.8731019,0.8558396,0.8172388,0.7637099,0.7142708,0.689015,0.6974522,0.7348961,0.7860969,0.8316028,0.8554888,0.8533487,0.8345994,0.8142247,0.7999243,0.7873724,0.7677081,0.7379143,0.7035534,0.6734871,0.6531983,0.6415415,0.6319743,0.6174881,0.5960289,0.5714348,0.5487598,0.5294214,0.5116545,0.4945812,0.4802027,0.4717669,0.4716477,0.4804057,0.4957233,0.5115396,0.5202742,0.5180926,0.5080091,0.4967456,0.4883472,0.4813468,0.4718443,0.4582185,0.4422763,0.4265485,0.4118054,0.3980539,0.3876564,0.3860701,0.3977748,0.4205469,0.4442663,0.4568721,0.4530079,0.4377446,0.4219728,0.413514,0.4115233,0.4085358,0.3978661,0.3798333,0.3616967,0.3517722,0.3530532,0.3616832,0.3708972,0.3761845,0.3770016,0.3745646,0.3693905,0.3617838,0.3540042,0.3500237,0.3515847,0.3547035,0.351635,0.337526,0.3151294,0.2925559,0.2765574,0.2681984,0.2641824,0.2608466,0.256494,0.2512824,0.2464447,0.2436434,0.2440041,0.2471925,0.2516299,0.2555761,0.257542,0.2557848,0.2486473,0.23659,0.2237509,0.2162251,0.2175759,0.2255607,0.2334322,0.2349814,0.2290255,0.2196553,0.212452,0.2103017,0.2121878,0.2150661,0.2162415,0.2141591,0.2078086,0.1960879,0.1778436,0.1525247
4.168121,9.102772,11.00616,13.09644,14.41564,14.48089,13.42439,11.77622,10.09594,8.699509,7.613055,6.714963,5.91397,5.220825,4.69016,4.328176,4.070481,3.838981,3.602804,3.382289,3.209238,3.09505,3.029837,2.994402,2.964088,2.907636,2.795057,2.615001,2.386661,2.153376,1.960614,1.833341,1.767063,1.736294,1.71348,1.687066,1.668795,1.685678,1.761106,1.898499,2.079854,2.277735,2.466147,2.620155,2.710987,2.710406,2.605661,2.411329,2.166034,1.916747,1.702446,1.545184,1.448854,1.402811,1.387871,1.382691,1.369091,1.336056,1.282451,1.217342,1.156402,1.114516,1.097483,1.097697,1.097964,1.082716,1.04921,1.009515,0.9810447,0.9732279,0.9807584,0.9875545,0.977357,0.9435471,0.8926226,0.8400769,0.802147,0.7890655,0.8029153,0.8384325,0.8840674,0.9240027,0.9435018,0.9362047,0.9077276,0.8717061,0.840933,0.8203028,0.8063703,0.7928951,0.7772956,0.7624374,0.7524818,0.7476332,0.7440606,0.7392733,0.7360978,0.739547,0.7495946,0.7583719,0.7553935,0.7355199,0.7022806,0.6650757,0.6341006,0.6163528,0.6133375,0.6207895,0.6312517,0.6384906,0.6404003,0.6383783,0.6349185,0.6320505,0.6306997,0.629864,0.6266116,0.6185637,0.6069999,0.596211,0.588603,0.5812185,0.5687299,0.5502672,0.5323128,0.5240707,0.5300004,0.5467882,0.5667139,0.5828738,0.59108,0.5882392,0.5714188,0.5404458,0.5014074,0.465817,0.4443517,0.4403096,0.4485144,0.4597581,0.4661573,0.4638961,0.4534967,0.438854,0.425221,0.4165018,0.4135317,0.4145751,0.4171174,0.4191855,0.4198332,0.4194612,0.4198581,0.4231752,0.4302074,0.439727,0.4497862,0.459511,0.4691092,0.4779478,0.4831517,0.4808569,0.469144,0.4496852,0.4268296,0.4058098,0.3918369,0.389372,0.4002213,0.4216082,0.4468851,0.4689754,0.4834868,0.4892953,0.4876046,0.4809482,0.4714282,0.4576643,0.4332073,0.3899132,0.324935
4.38396,9.493445,11.23911,13.00757,13.87928,13.50372,12.1244,10.24684,8.301896,6.537737,5.090356,4.049227,3.435365,3.160548,3.055189,2.956535,2.780837,2.530973,2.255791,2.004842,1.805291,1.662278,1.569972,1.518856,1.494337,1.475003,1.440149,1.382128,1.309566,1.237445,1.175762,1.127819,1.09563,1.084545,1.105972,1.180097,1.334462,1.594476,1.973993,2.47791,3.110116,3.862158,4.674642,5.405804,5.857039,5.86305,5.390832,4.572682,3.645392,2.836463,2.27036,1.94481,1.775568,1.667779,1.566555,1.465273,1.382931,1.336303,1.324413,1.328139,1.3208,1.283966,1.219456,1.147873,1.093298,1.066621,1.061257,1.062344,1.058468,1.045865,1.024945,0.9959201,0.9589708,0.9180502,0.8826844,0.8634711,0.8639147,0.8764645,0.8873475,0.8858716,0.869898,0.8442147,0.8153356,0.7872391,0.7597383,0.7297181,0.6948883,0.6574062,0.6233642,0.5977762,0.5799722,0.5640352,0.5432016,0.5136551,0.4756481,0.4333666,0.394352,0.3671553,0.3569756,0.3622953,0.3756922,0.388162,0.3931976,0.3881673,0.3737906,0.3533086,0.3312564,0.3113257,0.2947024,0.2810056,0.2710966,0.2680692,0.2744456,0.2885121,0.3042643,0.3153342,0.3188991,0.3163145,0.3111069,0.3067008,0.3049223,0.3052467,0.3052467,0.3025712,0.2971345,0.2913623,0.2880021,0.2874501,0.2871076,0.2834951,0.275452,0.2655935,0.2584564,0.2567975,0.2595507,0.2633815,0.265925,0.2671344,0.2677708,0.2675788,0.2656384,0.2621754,0.2591431,0.2585368,0.2602695,0.261927,0.2605841,0.2549105,0.2459076,0.2361128,0.2281536,0.2235655,0.2223744,0.2235453,0.2259171,0.2288409,0.2319457,0.2343608,0.2344365,0.2306357,0.2230147,0.213837,0.2063884,0.202767,0.2026675,0.2043679,0.2067619,0.2100209,0.214193,0.2178617,0.2191048,0.2178991,0.2168445,0.2188919,0.2244244,0.2307658,0.2341814,0.2317861,0.2216927,0.202431,0.1734296
4.619748,10.14255,12.39175,14.86982,16.42469,16.4602,15.13676,13.10538,11.02822,9.251874,7.810328,6.632574,5.703022,5.055828,4.687232,4.520898,4.453279,4.409073,4.355072,4.287611,4.223205,4.190766,4.216029,4.312078,4.490684,4.772924,5.162274,5.594083,5.94583,6.172516,6.481094,7.322477,9.101781,11.88679,15.58657,20.61255,28.22,39.62005,54.13616,68.12393,76.25311,74.69222,63.71084,47.49464,31.41391,19.08669,11.32069,7.033035,4.75176,3.474302,2.724941,2.300331,2.083034,1.975807,1.893291,1.780947,1.637082,1.502746,1.419588,1.39703,1.415336,1.447882,1.475462,1.487976,1.483358,1.466962,1.446855,1.42523,1.395187,1.350503,1.300962,1.273694,1.292167,1.352352,1.424518,1.480906,1.517451,1.54546,1.567421,1.568681,1.532876,1.459435,1.363397,1.261876,1.163758,1.070011,0.9793011,0.8918383,0.8096222,0.7347422,0.6676364,0.6068373,0.5509298,0.5014986,0.464015,0.4446328,0.4447999,0.458485,0.4748355,0.4839585,0.4811788,0.4677584,0.4492805,0.4330051,0.4245197,0.424902,0.4304245,0.4349631,0.4329392,0.4211914,0.4000124,0.373413,0.3476645,0.3283366,0.3179635,0.3157702,0.3186378,0.3222505,0.3226124,0.3177569,0.3081944,0.2956025,0.2815326,0.2676168,0.2562167,0.2498267,0.2496304,0.2547569,0.2625281,0.2690803,0.2705127,0.2648712,0.2538323,0.2422986,0.2357778,0.2372755,0.2455254,0.2554302,0.2607288,0.2577153,0.2475374,0.2350951,0.2253403,0.220125,0.2179557,0.2160454,0.2122824,0.2058376,0.197253,0.1890234,0.1856725,0.1914445,0.2063961,0.2249067,0.2391635,0.2446035,0.2417713,0.2334641,0.2215495,0.2071225,0.192404,0.1808156,0.1749214,0.1748425,0.1785999,0.1835372,0.1877793,0.1912974,0.1957896,0.2027691,0.2112249,0.2175142,0.2181359,0.2127841,0.2046474,0.1977486,0.1937555,0.1907011,0.184192,0.1700114,0.1465039
1.326952,2.940862,3.673338,4.538728,5.206899,5.47962,5.339015,4.895643,4.300722,3.683826,3.130264,2.678847,2.326648,2.044778,1.805349,1.601721,1.444113,1.337518,1.268014,1.211605,1.152477,1.089552,1.028695,0.9752319,0.9353544,0.9179705,0.9269291,0.9499336,0.9604051,0.9361352,0.8784654,0.8136574,0.7764665,0.7920699,0.8692282,1.003352,1.181773,1.388355,1.608351,1.830902,2.04455,2.228348,2.349519,2.374835,2.28875,2.103121,1.851097,1.572129,1.300256,1.060542,0.8697054,0.7358826,0.6574444,0.6239036,0.6199919,0.6306383,0.6441741,0.6534573,0.656215,0.6548721,0.6545314,0.6587857,0.6662166,0.6713952,0.6703779,0.6655791,0.6648104,0.6751775,0.6979285,0.7288772,0.7625281,0.7945548,0.8208444,0.8367489,0.8397838,0.8332894,0.8256151,0.8242133,0.8307524,0.8426001,0.8579771,0.8773206,0.8987402,0.9140862,0.9123073,0.8878586,0.8453493,0.7957144,0.7483075,0.7064667,0.6689671,0.6338758,0.6008635,0.5711575,0.5463511,0.527024,0.5117026,0.496904,0.4787154,0.4551134,0.4272927,0.3988391,0.3732948,0.3520312,0.3341067,0.3180186,0.3035587,0.2920233,0.2848227,0.2820741,0.2824438,0.2839653,0.2847951,0.2835436,0.2796066,0.2735919,0.2671329,0.2616857,0.2572813,0.2527293,0.2472276,0.2414317,0.2365029,0.2323165,0.2273943,0.2210249,0.2149211,0.2119155,0.2127763,0.2148172,0.2141675,0.2094842,0.2032653,0.1995025,0.200142,0.2037734,0.2074696,0.2095656,0.2105639,0.2116277,0.2126948,0.2123728,0.2096061,0.2051997,0.2016263,0.201372,0.2053326,0.2124984,0.2210103,0.2296647,0.2386178,0.2486079,0.2592693,0.2681765,0.27197,0.2690808,0.2616766,0.2545857,0.2516382,0.252704,0.2544262,0.2539171,0.2514429,0.2492884,0.2484035,0.2468852,0.2420197,0.2335352,0.2245695,0.2193724,0.2198002,0.223522,0.2254524,0.2214505,0.211384,0.198903,0.1880239,0.179563,0.1704769,0.1563222,0.1344956
