Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37,Var1_38,Var1_39,Var1_40,Var1_41,Var1_42,Var1_43,Var1_44,Var1_45,Var1_46,Var1_47,Var1_48,Var1_49,Var1_50,Var1_51,Var1_52,Var1_53,Var1_54,Var1_55,Var1_56,Var1_57,Var1_58,Var1_59,Var1_60,Var1_61,Var1_62,Var1_63,Var1_64,Var1_65,Var1_66,Var1_67,Var1_68,Var1_69,Var1_70,Var1_71,Var1_72,Var1_73,Var1_74,Var1_75,Var1_76,Var1_77,Var1_78,Var1_79,Var1_80,Var1_81,Var1_82,Var1_83,Var1_84,Var1_85,Var1_86,Var1_87,Var1_88,Var1_89,Var1_90,Var1_91,Var1_92,Var1_93,Var1_94,Var1_95,Var1_96,Var1_97,Var1_98,Var1_99,Var1_100,Var1_101,Var1_102,Var1_103,Var1_104,Var1_105,Var1_106,Var1_107,Var1_108,Var1_109,Var1_110,Var1_111,Var1_112,Var1_113,Var1_114,Var1_115,Var1_116,Var1_117,Var1_118,Var1_119,Var1_120,Var1_121,Var1_122,Var1_123,Var1_124,Var1_125,Var1_126,Var1_127,Var1_128,Var1_129,Var1_130,Var1_131,Var1_132,Var1_133,Var1_134,Var1_135,Var1_136,Var1_137,Var1_138,Var1_139,Var1_140,Var1_141,Var1_142,Var1_143,Var1_144,Var1_145,Var1_146,Var1_147,Var1_148,Var1_149,Var1_150,Var1_151,Var1_152,Var1_153,Var1_154,Var1_155,Var1_156,Var1_157,Var1_158,Var1_159,Var1_160,Var1_161,Var1_162,Var1_163,Var1_164,Var1_165,Var1_166,Var1_167,Var1_168,Var1_169,Var1_170,Var1_171,Var1_172,Var1_173,Var1_174,Var1_175,Var1_176,Var1_177,Var1_178,Var1_179,Var1_180,Var1_181
3.086682,6.783198,8.266735,9.81786,10.67974,10.54552,9.601271,8.274901,6.944712,5.803332,4.888912,4.176757,3.636956,3.239763,2.943256,2.698255,2.473398,2.274068,2.130663,2.064245,2.064559,2.102238,2.157543,2.231582,2.331278,2.450468,2.568513,2.664041,2.728712,2.772407,2.820071,2.903076,3.052167,3.307479,3.762717,4.639852,6.340727,9.370952,14.05759,20.14421,26.55305,31.61927,33.79646,32.42124,28.0153,21.94339,15.72256,10.45214,6.614451,4.182032,2.838927,2.184329,1.873799,1.687459,1.529734,1.386689,1.275057,1.205195,1.168266,1.14836,1.142706,1.163276,1.215372,1.281578,1.334808,1.364902,1.385699,1.417899,1.472762,1.551541,1.648986,1.749671,1.826831,1.856458,1.838335,1.80279,1.794901,1.84793,1.963641,2.109541,2.233146,2.28542,2.24114,2.106474,1.912379,1.699411,1.501444,1.335155,1.199675,1.085036,0.9822073,0.8883512,0.8070397,0.7460705,0.7130485,0.7085035,0.7210727,0.7310955,0.7219395,0.6897923,0.6436139,0.59655,0.5572786,0.5277113,0.5062367,0.4913485,0.4822216,0.4772979,0.4738941,0.4695756,0.4633219,0.4552528,0.4462806,0.4387215,0.4359757,0.4394178,0.4450693,0.4449604,0.4334259,0.4122517,0.3892976,0.3723672,0.3646156,0.3647183,0.3695046,0.3756756,0.3801964,0.3808219,0.3769669,0.3697415,0.3608426,0.3516001,0.3431439,0.3367949,0.3333213,0.3315634,0.3284862,0.3214134,0.31044,0.2984536,0.2887461,0.2826647,0.2793152,0.2769355,0.2741983,0.2704311,0.2651368,0.2577316,0.2479515,0.2365136,0.2251249,0.2154267,0.2076852,0.2006342,0.1928312,0.1842233,0.1763379,0.1710051,0.1689822,0.1696704,0.1717991,0.1741637,0.1758954,0.1764748,0.1758552,0.1746737,0.1742097,0.1758585,0.1802708,0.1866927,0.1931537,0.1976677,0.1996372,0.20011,0.2003735,0.200099,0.1969162,0.1879015,0.1715143,0.1483224,0.1204264
3.09317,7.015551,9.151471,11.71097,13.70456,14.48641,13.98617,12.61406,10.94048,9.386247,8.110636,7.098881,6.302336,5.697886,5.261135,4.938159,4.67104,4.447395,4.311665,4.321402,4.489937,4.765774,5.061161,5.303743,5.48284,5.686877,6.135167,7.166923,9.114132,12.04597,15.53145,18.66089,20.42821,20.26993,18.3769,15.54999,12.73177,10.56969,9.267555,8.703793,8.618382,8.717998,8.706393,8.32936,7.467422,6.207798,4.809596,3.565433,2.65782,2.107345,1.821836,1.681066,1.593802,1.512729,1.426521,1.348294,1.306401,1.33397,1.452877,1.657176,1.910881,2.166965,2.391177,2.566715,2.679442,2.708032,2.63477,2.464209,2.228315,1.97447,1.747506,1.574331,1.45498,1.365886,1.27754,1.175311,1.066705,0.9710603,0.9031463,0.8633422,0.8385639,0.8117015,0.7735089,0.7277646,0.6845443,0.6486419,0.6163586,0.5836396,0.5543802,0.5383173,0.541317,0.5589561,0.579041,0.5894246,0.584237,0.564724,0.5356668,0.5013641,0.4643973,0.4267645,0.3907638,0.3587423,0.3329228,0.3154931,0.3075423,0.307055,0.308597,0.3060497,0.2962026,0.2801964,0.2621852,0.2465385,0.2352036,0.2268147,0.2184181,0.2083714,0.1974847,0.1874808,0.1790769,0.1719974,0.1664123,0.1637839,0.1661901,0.1746106,0.1873127,0.199866,0.2076109,0.2088667,0.2056203,0.2009549,0.1963724,0.1919469,0.1881463,0.1861857,0.1864412,0.1873783,0.1865354,0.1823559,0.1750591,0.1662994,0.1584036,0.1536263,0.153386,0.1576159,0.1646025,0.1714931,0.1752598,0.1737612,0.1666626,0.1559654,0.145537,0.139161,0.1380068,0.1398458,0.1412728,0.1409097,0.1400945,0.1404304,0.1413816,0.1408087,0.1374511,0.1322107,0.1271021,0.1235539,0.1217733,0.1211076,0.1205902,0.1194742,0.117797,0.1164974,0.1166123,0.1181029,0.1196036,0.1196221,0.1180712,0.1163934,0.1159121,0.1160125,0.1140274,0.1069545,0.09343172
2.470859,5.38945,6.480083,7.623799,8.262457,8.160737,7.442487,6.417747,5.376592,4.483105,3.780991,3.248065,2.843428,2.530177,2.281531,2.082005,1.928258,1.826234,1.781006,1.785748,1.822821,1.878438,1.953726,2.056673,2.18424,2.319086,2.448001,2.580877,2.747095,2.971632,3.253034,3.560284,3.848082,4.078313,4.233726,4.319493,4.36725,4.460633,4.764366,5.490068,6.753392,8.393889,9.928969,10.75065,10.46565,9.128203,7.189512,5.222145,3.638887,2.580458,1.977826,1.679826,1.547098,1.486329,1.447773,1.412495,1.380401,1.359679,1.356759,1.369081,1.385455,1.395062,1.397617,1.404061,1.426039,1.464781,1.510897,1.55408,1.590387,1.618423,1.630186,1.610192,1.547622,1.45021,1.344267,1.258469,1.205519,1.177606,1.157626,1.134035,1.106685,1.081771,1.063465,1.050002,1.035551,1.013924,0.9801853,0.9302381,0.8613493,0.7751123,0.6801859,0.5905405,0.518698,0.4689066,0.4360687,0.4111593,0.3880256,0.3659188,0.3468254,0.3313845,0.317417,0.301702,0.2826357,0.2613639,0.2409098,0.2243647,0.213372,0.2075392,0.2048458,0.2027223,0.1991983,0.1935397,0.1861832,0.1782763,0.1712805,0.1667885,0.1662351,0.1701666,0.1773777,0.1848607,0.1891733,0.1885282,0.18402,0.178974,0.1768975,0.1794325,0.185524,0.1921991,0.1964238,0.1967556,0.1935749,0.1879389,0.1804675,0.1714844,0.1619529,0.1536976,0.1483517,0.1461322,0.1457915,0.1457516,0.1452182,0.1442659,0.1430568,0.141212,0.1381148,0.1338256,0.1294777,0.1264921,0.1253147,0.1250157,0.1241748,0.1221185,0.1193799,0.1171831,0.1165329,0.1175101,0.1191368,0.1199597,0.1190273,0.116455,0.113049,0.1094505,0.1057617,0.1019502,0.09840607,0.09597386,0.0954626,0.0970981,0.1003192,0.1040556,0.1073384,0.1098014,0.11165,0.1131999,0.1145505,0.1156618,0.1163903,0.1160621,0.1130176,0.1050503,0.09087216
3.406584,7.722786,9.993277,12.52506,14.20648,14.46713,13.43035,11.65972,9.754019,8.073025,6.707693,5.612265,4.738104,4.074492,3.617072,3.33698,3.186233,3.117832,3.091434,3.06779,3.012188,2.910023,2.778037,2.657497,2.590546,2.591969,2.634394,2.662574,2.632913,2.547769,2.453782,2.409521,2.461151,2.653107,3.055796,3.767974,4.874567,6.382975,8.179848,10.03536,11.65528,12.76271,13.18292,12.89993,12.05488,10.87755,9.584334,8.306923,7.096298,5.981393,5.012701,4.246262,3.695553,3.314384,3.032177,2.800485,2.602912,2.430432,2.262086,2.074259,1.861577,1.641656,1.439835,1.272409,1.143315,1.051575,0.9977691,0.982752,1.001262,1.037814,1.070421,1.081287,1.067025,1.039885,1.01788,1.010881,1.013479,1.009952,0.9867431,0.9420691,0.8856584,0.8304029,0.7836856,0.7447723,0.7085561,0.6712473,0.6332682,0.5976719,0.5662099,0.5370325,0.5062775,0.471733,0.434648,0.3981039,0.3643263,0.3339339,0.3072176,0.2852944,0.2698231,0.2617896,0.2603593,0.2624947,0.2639572,0.2616415,0.2556299,0.2489842,0.245277,0.2459821,0.2495264,0.252062,0.2492936,0.2388187,0.221841,0.2026378,0.1857747,0.1735418,0.1658767,0.1620501,0.1617135,0.1646173,0.1703386,0.1785867,0.1889507,0.1996643,0.2071499,0.2078905,0.2012196,0.1900027,0.1783742,0.1689013,0.1617678,0.1559739,0.1506638,0.1453947,0.1398455,0.13386,0.1278104,0.1225973,0.119015,0.1170278,0.1157186,0.1140432,0.1116929,0.1091978,0.1071599,0.1054841,0.1035282,0.101011,0.09853823,0.09703352,0.09675063,0.09708621,0.09735991,0.0974905,0.09774182,0.09802894,0.09780437,0.09663824,0.09463641,0.0921585,0.08933023,0.08609981,0.08275209,0.0800953,0.07895298,0.07952534,0.0813452,0.08374817,0.08617134,0.08805235,0.08886852,0.08864022,0.08823669,0.08868466,0.08994597,0.09061345,0.08904664,0.08467042,0.07795244,0.06932806,0.05866125
2.124289,4.573895,5.35743,6.156917,6.571315,6.457702,5.938859,5.253935,4.599931,4.06291,3.638038,3.284992,2.972546,2.693292,2.451535,2.243212,2.049922,1.853557,1.65523,1.477105,1.344441,1.265758,1.229013,1.213537,1.203444,1.191477,1.175056,1.152564,1.123168,1.087141,1.044285,0.9925464,0.9297464,0.857132,0.7808453,0.7097961,0.6520416,0.612112,0.5897877,0.5801036,0.5749524,0.5663396,0.5499201,0.5267804,0.5024051,0.4834641,0.4742868,0.4750593,0.4824679,0.4916978,0.4981922,0.49876,0.4924684,0.4812719,0.4699717,0.4658202,0.4778413,0.5143762,0.5779974,0.6613072,0.7493666,0.8287694,0.8952645,0.9528026,1.006908,1.060888,1.117023,1.176906,1.237964,1.291746,1.329101,1.347195,1.349056,1.335816,1.302032,1.240998,1.154148,1.05366,0.9556856,0.8716714,0.8053728,0.75563,0.7195569,0.6924735,0.6661829,0.6300877,0.577066,0.5101609,0.4431569,0.3925394,0.366671,0.361324,0.3647415,0.3666362,0.3632466,0.3559954,0.3473612,0.3384226,0.3292314,0.3202458,0.3128237,0.3083079,0.3066884,0.3061202,0.3037228,0.2970887,0.2855916,0.2708249,0.2558204,0.2432588,0.2338789,0.2265755,0.2201844,0.2149586,0.2119532,0.2110973,0.2104329,0.2075636,0.2017447,0.1945526,0.1888078,0.1868415,0.1890724,0.1934461,0.1962911,0.1945502,0.1879379,0.1791153,0.171697,0.1679647,0.1680157,0.1702067,0.1718545,0.1700573,0.1631462,0.1522355,0.1412167,0.1345055,0.1341439,0.1386907,0.1446852,0.1492023,0.1513926,0.1521218,0.1524896,0.1527521,0.1525197,0.1516941,0.150836,0.1504459,0.1500823,0.1485073,0.1448048,0.139314,0.13358,0.1295715,0.1287716,0.1314436,0.1363389,0.141259,0.1443831,0.1453901,0.1453635,0.1456119,0.1465905,0.1478819,0.1490068,0.1499894,0.1509791,0.1514424,0.1501665,0.1464808,0.1413866,0.1369259,0.134075,0.131499,0.1267429,0.1185076,0.1073605,0.0943497,0.07964697
1.439486,3.167979,3.887499,4.676361,5.154254,5.112108,4.588396,3.801617,3.003951,2.359264,1.908166,1.60911,1.401183,1.242973,1.117,1.015938,0.9311197,0.8522305,0.7732206,0.6950231,0.6223388,0.5596676,0.5108847,0.4799154,0.4685782,0.4733129,0.4857274,0.4972417,0.5029354,0.5015024,0.4933769,0.4799813,0.4640643,0.4497734,0.4421112,0.4456205,0.4619547,0.4878799,0.5167567,0.5434782,0.5682371,0.5955695,0.6309128,0.6783482,0.7382923,0.802274,0.8489071,0.8502981,0.7897139,0.6768016,0.5450534,0.432189,0.3598924,0.3277904,0.3218521,0.3267265,0.3330087,0.3377028,0.3408459,0.3420705,0.3397459,0.3328924,0.3233742,0.3156606,0.3142446,0.3211783,0.3354401,0.3537297,0.3717247,0.3855416,0.3931538,0.3950626,0.3939128,0.3935059,0.3974193,0.4071204,0.420506,0.4327783,0.4398062,0.4409713,0.4384711,0.4339934,0.4266669,0.414302,0.3959216,0.3727196,0.3472832,0.3229023,0.3036029,0.2935829,0.2951475,0.3065851,0.3224263,0.3365168,0.3453324,0.3485165,0.346588,0.3388946,0.3243781,0.3040404,0.2817739,0.2622508,0.2481958,0.2398945,0.2368245,0.2388417,0.2454121,0.2542437,0.2616574,0.264985,0.2646786,0.2636977,0.2644823,0.2665257,0.2670766,0.2641271,0.2584022,0.2524148,0.247995,0.2449975,0.2420534,0.2380278,0.2327061,0.2265115,0.2199443,0.2134334,0.207766,0.20446,0.2050308,0.2091682,0.2137132,0.2143662,0.2092416,0.2008361,0.1942643,0.1935167,0.1992573,0.2094092,0.2208186,0.2302105,0.2346657,0.2325821,0.224774,0.2143184,0.204775,0.1981823,0.1944935,0.1925731,0.1914245,0.1905647,0.1897874,0.1891501,0.1892406,0.1909408,0.1944182,0.1983833,0.2007932,0.2006015,0.1986792,0.1967418,0.1954452,0.1939392,0.1915024,0.1892386,0.1894786,0.1932042,0.1983971,0.2014292,0.2001623,0.1954518,0.1896875,0.1844424,0.1799691,0.176597,0.1756375,0.1782225,0.1832279,0.1866415,0.1832368,0.1692985,0.1445515
3.876634,9.273409,13.376,18.77561,23.6852,26.42822,26.14388,23.16452,18.75699,14.37202,10.93166,8.613171,7.131366,6.146277,5.460935,4.983403,4.63471,4.33232,4.027697,3.723114,3.447233,3.222854,3.056013,2.944426,2.886545,2.87862,2.903375,2.924854,2.89895,2.793306,2.602001,2.347312,2.070659,1.817193,1.619067,1.486049,1.410023,1.378158,1.381721,1.415212,1.47238,1.545262,1.623948,1.693933,1.735033,1.727196,1.660496,1.540941,1.387913,1.2264,1.079535,0.9641508,0.8890671,0.8545945,0.8525944,0.8680909,0.8835851,0.8848787,0.8655399,0.8284314,0.7844603,0.7481971,0.7304118,0.7314443,0.7415301,0.7487332,0.7471223,0.7379133,0.7246827,0.7092786,0.6918382,0.6728282,0.6543813,0.6404126,0.6355941,0.6430719,0.6621527,0.6879584,0.7131264,0.7298278,0.7314921,0.7150905,0.6832817,0.6438484,0.6058209,0.5752859,0.5538585,0.5395119,0.528134,0.5155873,0.5001068,0.4829182,0.4655875,0.4467906,0.4229175,0.3924716,0.3592542,0.3306847,0.3132169,0.3090266,0.315435,0.3261429,0.3338442,0.3338667,0.3265775,0.3161452,0.3068423,0.3007727,0.2984961,0.3000447,0.3042837,0.3082798,0.3088829,0.3051397,0.2983788,0.2899154,0.2795543,0.2666575,0.2519104,0.2373692,0.2250074,0.2156094,0.2088218,0.203736,0.1993299,0.1946725,0.1890233,0.1820415,0.1742318,0.1671638,0.1626409,0.1610212,0.1603977,0.1579946,0.1527548,0.1465177,0.1425048,0.1425682,0.1457603,0.1493315,0.1510501,0.1508141,0.1503982,0.1517792,0.1554322,0.1597617,0.161982,0.1599664,0.1539625,0.1467916,0.141942,0.1408526,0.1418732,0.1420175,0.1397734,0.1361505,0.1331612,0.1316363,0.1305961,0.1284269,0.1243853,0.1190933,0.113964,0.1103422,0.1090145,0.1101308,0.1132412,0.1173419,0.1211283,0.1235455,0.1242825,0.1237581,0.1226392,0.1214085,0.1203215,0.1195289,0.118944,0.1178237,0.1145201,0.1069167,0.09357907
3.53988,7.465733,8.382028,9.266812,9.602196,9.208781,8.27661,7.160755,6.139682,5.314876,4.66857,4.163888,3.782255,3.497867,3.256734,2.998431,2.694021,2.357698,2.027203,1.739408,1.518964,1.375392,1.301113,1.274135,1.269439,1.271317,1.275474,1.28123,1.284464,1.278074,1.256805,1.220772,1.176648,1.138615,1.129895,1.18329,1.336815,1.619324,2.026058,2.496996,2.9197,3.167481,3.156703,2.888398,2.447839,1.963414,1.549726,1.265062,1.102337,1.013316,0.9473539,0.8790051,0.8106341,0.7570312,0.7294676,0.7290062,0.7467334,0.7667105,0.7723146,0.7555766,0.7224517,0.6872094,0.6598932,0.6388695,0.6149374,0.5812053,0.5387932,0.495129,0.4589148,0.4361156,0.4278004,0.4294817,0.4327228,0.4294206,0.4165802,0.3979977,0.3813818,0.373231,0.3753658,0.385008,0.3971371,0.4068315,0.410686,0.4076582,0.3992524,0.388367,0.3771296,0.3655217,0.3520952,0.3358893,0.3175298,0.2987595,0.2814053,0.2668476,0.2559331,0.2488242,0.2448647,0.2429067,0.2419945,0.2417151,0.2418469,0.2417502,0.2401814,0.2356769,0.2271816,0.2146751,0.1996846,0.1852886,0.1751168,0.1716047,0.1746822,0.1819026,0.189804,0.1955156,0.19788,0.1977832,0.1973982,0.1984543,0.200709,0.202095,0.2005441,0.1957521,0.1893467,0.1837004,0.1806571,0.1808517,0.1834826,0.1864825,0.1872889,0.1840212,0.1763393,0.1654665,0.1535662,0.1429899,0.1357093,0.1329157,0.1346861,0.1397696,0.1457509,0.149791,0.1497177,0.14484,0.1360404,0.1252524,0.1147183,0.1063051,0.1010704,0.0992691,0.1006876,0.1047961,0.1104707,0.115856,0.1190953,0.119615,0.118671,0.1183695,0.1199167,0.122654,0.1246828,0.1244581,0.1219986,0.1188185,0.1167989,0.1170346,0.1195188,0.1235819,0.1283139,0.1325122,0.1345825,0.1330866,0.1278487,0.1205778,0.1140868,0.1104821,0.1098436,0.1105249,0.110569,0.1086895,0.1040505,0.09568616,0.08277798
3.301301,7.104564,8.311779,9.541813,10.18356,10.02236,9.230157,8.12875,6.974811,5.900695,4.961436,4.181649,3.564734,3.092542,2.737598,2.476604,2.291511,2.164502,2.077767,2.015583,1.962192,1.900189,1.818046,1.721747,1.634629,1.580468,1.564829,1.572486,1.581196,1.576574,1.55572,1.521284,1.475538,1.42006,1.358757,1.299102,1.250005,1.219473,1.216699,1.261454,1.399912,1.717743,2.328688,3.316194,4.638752,6.064306,7.21568,7.738932,7.493099,6.618531,5.432487,4.243275,3.226099,2.422418,1.810295,1.36092,1.050119,0.8495047,0.7252696,0.6461354,0.5896103,0.5431916,0.5033273,0.4724076,0.4529671,0.4426325,0.4347696,0.4239936,0.4102212,0.3970582,0.3869791,0.3787742,0.3694932,0.358142,0.3470451,0.3397983,0.3382929,0.3417508,0.3481713,0.3562037,0.3655132,0.3755599,0.3843648,0.388938,0.3873875,0.3806794,0.3719823,0.3641716,0.3583551,0.3548456,0.3545222,0.3579863,0.3632999,0.3655326,0.3593321,0.3422458,0.3160461,0.285587,0.256391,0.2322603,0.2139987,0.1999322,0.1876411,0.1753583,0.1623476,0.1489586,0.1367195,0.1276785,0.1228297,0.1212098,0.1209255,0.1208835,0.1210763,0.1214217,0.1210956,0.1192495,0.1159117,0.1119086,0.1082331,0.1057156,0.1048662,0.1054281,0.1060719,0.1050434,0.1015504,0.09658921,0.09230658,0.09043116,0.09115864,0.09333206,0.09550076,0.09678005,0.0969375,0.09608085,0.09457128,0.09316096,0.0928538,0.09430902,0.09726159,0.1005299,0.1026695,0.1028168,0.1011508,0.09865266,0.09632148,0.09444885,0.09254659,0.08996482,0.0866386,0.08333275,0.08122289,0.08117057,0.0832345,0.08670685,0.0905072,0.0935421,0.09489287,0.09404177,0.09120543,0.08739916,0.08389334,0.08139981,0.07974298,0.07829171,0.07664783,0.07495537,0.07370301,0.07331227,0.07382886,0.07489473,0.07601746,0.0769194,0.07762804,0.07822708,0.07856923,0.07825925,0.07683413,0.07385395,0.06885023,0.06138489,0.05139108
1.427335,3.131668,3.812344,4.535473,4.936384,4.833789,4.284812,3.500629,2.708477,2.057355,1.601986,1.332784,1.206721,1.165132,1.149778,1.121942,1.072705,1.014763,0.9636006,0.9243173,0.8913601,0.8560659,0.8142615,0.7699123,0.7335654,0.7161589,0.7220237,0.7462855,0.7781983,0.8069665,0.8259259,0.8339474,0.8350856,0.837481,0.8516986,0.8876924,0.9497098,1.032037,1.122713,1.218592,1.342445,1.545279,1.887131,2.40746,3.100698,3.901992,4.683556,5.272142,5.500668,5.282392,4.663235,3.809361,2.931836,2.197439,1.679201,1.363414,1.190462,1.095876,1.032603,0.9744441,0.9103459,0.8386809,0.7646169,0.6978038,0.6471459,0.6144967,0.5930986,0.57319,0.5496363,0.5241174,0.5006176,0.4801581,0.4603581,0.4389265,0.4161741,0.3941528,0.374434,0.3571964,0.341771,0.3273324,0.3132177,0.2991858,0.2855603,0.2729665,0.2619753,0.2532028,0.2475864,0.2459883,0.2481201,0.2519281,0.2543667,0.2531469,0.2481294,0.2413301,0.2354902,0.232132,0.2304533,0.2279053,0.2220288,0.2121723,0.2000055,0.1887865,0.1819755,0.181703,0.1875568,0.1964,0.2037804,0.206432,0.2041662,0.1995296,0.1953889,0.1925823,0.1898202,0.1857316,0.1806753,0.1763301,0.1737511,0.1723021,0.1705926,0.1680767,0.1654593,0.1637861,0.1635621,0.164799,0.1676124,0.1725222,0.1801002,0.1901986,0.2013443,0.2109564,0.2165851,0.2173756,0.2144464,0.2097327,0.204368,0.1981553,0.1904641,0.1813696,0.1717797,0.1626303,0.1543162,0.1470397,0.1414265,0.138337,0.1378578,0.1386233,0.1384083,0.1356228,0.1304763,0.1249052,0.1213104,0.120933,0.1230138,0.1254789,0.1266985,0.126754,0.1269985,0.1284426,0.1306933,0.1324046,0.1325258,0.131083,0.1290677,0.1278339,0.1284157,0.1309607,0.134529,0.137468,0.1381764,0.1357949,0.1305548,0.1237385,0.1171948,0.1124604,0.109982,0.1090494,0.108387,0.1066726,0.1025554,0.09463593,0.08203718
