Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37,Var1_38,Var1_39,Var1_40,Var1_41,Var1_42,Var1_43,Var1_44,Var1_45,Var1_46,Var1_47,Var1_48,Var1_49,Var1_50,Var1_51,Var1_52,Var1_53,Var1_54,Var1_55,Var1_56,Var1_57,Var1_58,Var1_59,Var1_60,Var1_61,Var1_62,Var1_63,Var1_64,Var1_65,Var1_66,Var1_67,Var1_68,Var1_69,Var1_70,Var1_71,Var1_72,Var1_73,Var1_74,Var1_75,Var1_76,Var1_77,Var1_78,Var1_79,Var1_80,Var1_81,Var1_82,Var1_83,Var1_84,Var1_85,Var1_86,Var1_87,Var1_88,Var1_89,Var1_90,Var1_91,Var1_92,Var1_93,Var1_94,Var1_95,Var1_96,Var1_97,Var1_98,Var1_99,Var1_100,Var1_101,Var1_102,Var1_103,Var1_104,Var1_105,Var1_106,Var1_107,Var1_108,Var1_109,Var1_110,Var1_111,Var1_112,Var1_113,Var1_114,Var1_115,Var1_116,Var1_117,Var1_118,Var1_119,Var1_120,Var1_121,Var1_122,Var1_123,Var1_124,Var1_125,Var1_126,Var1_127,Var1_128,Var1_129,Var1_130,Var1_131,Var1_132,Var1_133,Var1_134,Var1_135,Var1_136,Var1_137,Var1_138,Var1_139,Var1_140,Var1_141,Var1_142,Var1_143,Var1_144,Var1_145,Var1_146,Var1_147,Var1_148,Var1_149,Var1_150,Var1_151,Var1_152,Var1_153,Var1_154,Var1_155,Var1_156,Var1_157,Var1_158,Var1_159,Var1_160,Var1_161,Var1_162,Var1_163,Var1_164,Var1_165,Var1_166,Var1_167,Var1_168,Var1_169,Var1_170,Var1_171,Var1_172,Var1_173,Var1_174,Var1_175,Var1_176,Var1_177,Var1_178,Var1_179,Var1_180,Var1_181
2.572136,5.764748,7.366837,9.305973,10.87596,11.63247,11.5273,10.79968,9.748377,8.573388,7.371312,6.21112,5.171175,4.308038,3.621891,3.073943,2.633699,2.299249,2.075992,1.950391,1.891194,1.869549,1.870108,1.88474,1.903718,1.916603,1.917338,1.902795,1.865962,1.795024,1.683567,1.542456,1.39954,1.285413,1.219121,1.207932,1.258231,1.37966,1.572037,1.807811,2.033084,2.191971,2.253018,2.215155,2.095234,1.916588,1.707622,1.500114,1.318206,1.167332,1.037922,0.9216158,0.8223273,0.7518672,0.7182587,0.7196296,0.7458259,0.7821085,0.8126625,0.8256879,0.8185934,0.7983497,0.7758799,0.7593187,0.7507474,0.7464209,0.7388276,0.7203811,0.6880136,0.6453958,0.6001514,0.5581681,0.5202124,0.4835405,0.4462958,0.4103779,0.3804219,0.3600143,0.3485919,0.3419455,0.3360124,0.3303408,0.3277766,0.3307109,0.3376346,0.3432215,0.3417093,0.3306646,0.3123488,0.291951,0.2741555,0.2606015,0.2500268,0.2405803,0.2318555,0.2247166,0.2195473,0.2152845,0.2104353,0.2047399,0.199395,0.1956533,0.1936281,0.1927665,0.1933364,0.1970691,0.2059826,0.220135,0.2360473,0.2473527,0.2479559,0.2359412,0.2151593,0.1927691,0.1745219,0.1617139,0.1519623,0.1422991,0.1315945,0.1209298,0.1125299,0.1082552,0.1083172,0.110958,0.1136016,0.1147371,0.1148415,0.1154961,0.1176849,0.1208824,0.1234657,0.123744,0.1207558,0.1145515,0.1061126,0.09709519,0.08944707,0.08483205,0.0839157,0.08593085,0.08904869,0.09148936,0.09250483,0.09241085,0.09183984,0.09115175,0.09054451,0.09042386,0.09130877,0.0932393,0.09537088,0.09631285,0.09502441,0.09155729,0.0870838,0.08320974,0.08105074,0.08068185,0.08131761,0.08205227,0.08251388,0.08283421,0.08302117,0.08250906,0.08052795,0.07700074,0.07297139,0.06996508,0.06880353,0.06900038,0.06929421,0.06876651,0.06751005,0.06635929,0.0660907,0.06682529,0.06794877,0.06834282,0.06668014,0.06181719,0.05334808
6.927886,15.18757,18.42357,21.77298,23.52621,23.00725,20.74259,17.85717,15.27771,13.34676,11.96704,10.93478,10.10877,9.385997,8.673632,7.954511,7.348634,7.051769,7.179818,7.656361,8.236991,8.64489,8.716171,8.461165,8.016554,7.545949,7.173488,6.974566,6.98204,7.206316,7.752469,9.037419,11.8507,16.92626,24.11653,31.87169,37.7512,39.84679,38.03424,33.96931,29.81703,26.80139,24.71034,22.54156,19.53728,15.74054,11.80917,8.453072,6.014748,4.429795,3.445341,2.836469,2.473305,2.276327,2.171153,2.093625,2.013753,1.935915,1.874339,1.830322,1.789322,1.735227,1.666588,1.598855,1.549834,1.524194,1.51488,1.517912,1.53967,1.586635,1.651093,1.709911,1.736533,1.714191,1.642264,1.534928,1.413536,1.296385,1.19253,1.103226,1.026957,0.9621726,0.9069666,0.8580716,0.8100581,0.7554852,0.6883695,0.6103238,0.5328892,0.4711974,0.4336047,0.4168872,0.4103586,0.4036081,0.3913771,0.3737137,0.3533539,0.3332314,0.315863,0.3037034,0.2980964,0.2970961,0.295835,0.2907863,0.2832924,0.2775334,0.2752418,0.27375,0.2692487,0.2607291,0.2506146,0.2427333,0.2398427,0.2416691,0.2445878,0.2443945,0.2406604,0.2379571,0.2417396,0.2529256,0.2669387,0.2777431,0.2821048,0.2801141,0.2727796,0.2601212,0.2416507,0.2182294,0.1931601,0.1713929,0.1573419,0.1526604,0.1553004,0.160645,0.1643612,0.1649974,0.1639671,0.1628864,0.1612905,0.1574913,0.1513862,0.145388,0.142037,0.1412053,0.140312,0.1371711,0.1321168,0.1273542,0.1247464,0.124455,0.1253323,0.126122,0.1262224,0.1256417,0.1245999,0.1233023,0.1219746,0.1208855,0.1202028,0.1198897,0.1199138,0.1206252,0.1227447,0.1266495,0.1314943,0.135213,0.1357565,0.1325707,0.1269145,0.1207874,0.1156126,0.1117758,0.1089707,0.1066852,0.1045454,0.102539,0.1008746,0.09928817,0.09638407,0.08999657,0.07863908
3.358211,7.232682,8.444666,9.577348,9.931495,9.27859,7.88497,6.239628,4.752995,3.623428,2.8726,2.436329,2.22388,2.137694,2.084066,1.992915,1.838829,1.643978,1.45375,1.300747,1.187942,1.104463,1.051643,1.046404,1.099332,1.197012,1.310752,1.419853,1.523005,1.630297,1.751491,1.897036,2.092204,2.391438,2.880136,3.663682,4.856284,6.574074,8.906122,11.82555,15.05776,18.0152,19.92686,20.16603,18.59196,15.65768,12.18708,8.972747,6.468797,4.744099,3.640581,2.956127,2.528441,2.232933,1.972284,1.692399,1.396265,1.124723,0.9160863,0.7799129,0.700546,0.6563511,0.633948,0.6295282,0.6417378,0.6645189,0.6864058,0.6968204,0.6928799,0.6793652,0.6621634,0.6430278,0.6213034,0.5993378,0.5838551,0.580658,0.5880757,0.5966343,0.5965235,0.5866335,0.576794,0.5805034,0.6037274,0.6389427,0.6697193,0.6828927,0.678691,0.6695374,0.667379,0.6710316,0.6668025,0.6426587,0.6011302,0.5572285,0.5246976,0.5061775,0.4958366,0.4876122,0.4785886,0.466889,0.4504737,0.4288689,0.4037323,0.3765188,0.3472117,0.3167603,0.2894213,0.2703354,0.2604257,0.2550596,0.2483063,0.2376466,0.2242134,0.2098432,0.1954014,0.1816429,0.1700951,0.1622535,0.1583369,0.1571847,0.1569787,0.1558167,0.152227,0.1459227,0.1380762,0.1304346,0.124137,0.1195683,0.1170187,0.1167863,0.1184981,0.1208794,0.1225609,0.1229095,0.1219139,0.11964,0.1162597,0.1125302,0.1097778,0.1090723,0.1103364,0.112268,0.1132338,0.1124677,0.1105483,0.1086332,0.1071523,0.1053759,0.1023926,0.09837112,0.09462485,0.09242884,0.09191384,0.09207781,0.09165452,0.0899304,0.08701011,0.08363928,0.08084725,0.07954641,0.08016868,0.08245229,0.08547679,0.08795391,0.08869565,0.08715203,0.08382951,0.08023123,0.07801847,0.07774019,0.07825328,0.07767192,0.07514966,0.07167795,0.06901754,0.06795999,0.06776693,0.06706712,0.06485413,0.06056071,0.05370947
3.008545,6.789423,8.719581,10.87317,12.29503,12.4892,11.5601,9.98917,8.278028,6.72646,5.431245,4.397503,3.619467,3.086513,2.760541,2.575181,2.462719,2.382796,2.32833,2.307077,2.319616,2.355189,2.404205,2.468506,2.559212,2.690006,2.873372,3.116284,3.415381,3.763023,4.165706,4.653378,5.265274,6.039754,7.053113,8.499696,10.72684,14.12647,18.87608,24.65281,30.51492,35.09266,37.07089,35.7553,31.41543,25.18658,18.56763,12.80643,8.518921,5.695557,3.97648,2.95057,2.31611,1.900787,1.620444,1.43633,1.327017,1.274797,1.263715,1.280115,1.308379,1.327896,1.320311,1.280966,1.219957,1.152228,1.09039,1.045443,1.025239,1.025589,1.026257,1.003501,0.9501181,0.8824253,0.8271075,0.8009262,0.8005508,0.8089944,0.8126205,0.8155755,0.8389013,0.9022812,1.002611,1.109408,1.182901,1.199177,1.160872,1.087332,0.9973258,0.9004988,0.8010043,0.7042835,0.6182139,0.5488277,0.4965435,0.4565656,0.4223039,0.3890794,0.3562421,0.3265724,0.3030769,0.2858099,0.2719818,0.2590791,0.2469914,0.2366108,0.2272083,0.2163032,0.2021002,0.1854063,0.169194,0.1568867,0.1509367,0.1519221,0.1579891,0.1651634,0.1689526,0.1664893,0.1577927,0.1454059,0.1328411,0.1228667,0.1164886,0.1129603,0.1106878,0.1085197,0.1066019,0.106069,0.1077143,0.1108628,0.1136345,0.1143748,0.1127972,0.1098091,0.1064207,0.1029013,0.09887704,0.09413462,0.08928795,0.08553354,0.08356213,0.08272439,0.08148978,0.07883366,0.07506535,0.07127766,0.06820697,0.06579415,0.06370682,0.06199064,0.06103649,0.06090671,0.06082498,0.05959072,0.05672726,0.05317058,0.05057015,0.04979962,0.05025625,0.05062703,0.05016644,0.04919653,0.04860996,0.04905999,0.05046052,0.05201248,0.05270456,0.05196871,0.04999321,0.04749418,0.04525609,0.04380484,0.04324891,0.04323521,0.0431391,0.04248223,0.04121604,0.03955298,0.03753096,0.03478315,0.03074755
1.645314,3.483754,3.930505,4.335948,4.45917,4.257276,3.85637,3.414133,3.014534,2.665356,2.353864,2.081393,1.854392,1.667267,1.506779,1.367579,1.255013,1.173631,1.119083,1.083057,1.062485,1.0604,1.077425,1.103769,1.121178,1.114667,1.084194,1.045428,1.018122,1.012186,1.023642,1.043026,1.067081,1.102074,1.155422,1.223519,1.287619,1.322566,1.311314,1.253215,1.160734,1.050227,0.9358267,0.8293728,0.7422026,0.6838731,0.6577593,0.6578368,0.6708755,0.6838149,0.6909887,0.6951914,0.7018788,0.7121339,0.7206669,0.719804,0.7052623,0.679127,0.6484662,0.6210866,0.6015335,0.5900415,0.5845158,0.582932,0.583887,0.5859449,0.5876125,0.5877655,0.5849909,0.5764055,0.5586514,0.5316663,0.5015801,0.4786307,0.4706638,0.4773655,0.4900546,0.497312,0.4922321,0.4760331,0.4556937,0.4379978,0.4251183,0.4151585,0.4062292,0.3993636,0.3971774,0.4000123,0.4041917,0.4047523,0.4000215,0.3932839,0.3898573,0.3925473,0.3994621,0.4052539,0.4040539,0.392249,0.3702392,0.3424862,0.3154285,0.2943531,0.2815039,0.276479,0.2775812,0.2823768,0.2875852,0.2896637,0.286373,0.2779658,0.266751,0.2553949,0.2454493,0.2371723,0.2304323,0.2255557,0.2231894,0.2234035,0.2252064,0.2272077,0.2286748,0.2295401,0.2291728,0.2255664,0.2165408,0.2022588,0.1864151,0.1744266,0.1699586,0.1727769,0.1794141,0.1854786,0.1876425,0.1846192,0.1774661,0.1691892,0.1632616,0.1615786,0.1634185,0.1663564,0.1682072,0.1681987,0.1666381,0.1639494,0.1602841,0.1559232,0.1517069,0.1487736,0.1477339,0.1480878,0.148525,0.1479293,0.1462617,0.1446031,0.1443252,0.1460043,0.1488722,0.1512459,0.1516872,0.150048,0.1475828,0.1460377,0.1464457,0.1485343,0.1510806,0.1528213,0.1532192,0.1526184,0.1518168,0.1514462,0.1515778,0.1517327,0.1512258,0.1496334,0.1471167,0.1443415,0.1419034,0.1395041,0.1354418,0.1270185,0.1119936
3.386814,7.481926,9.213491,11.04061,12.07007,11.9197,10.80303,9.249054,7.736093,6.501373,5.573808,4.898542,4.418938,4.088955,3.862299,3.693543,3.548067,3.407605,3.269543,3.142625,3.038706,2.963224,2.912176,2.878103,2.856889,2.847321,2.8473,2.85591,2.881211,2.944729,3.07976,3.329785,3.746602,4.376213,5.23271,6.288409,7.50196,8.850439,10.29834,11.69993,12.74039,13.0321,12.34211,10.77448,8.744889,6.760903,5.178903,4.099452,3.425858,2.995379,2.681977,2.429688,2.232907,2.099828,2.026232,1.988596,1.952397,1.887915,1.785656,1.662109,1.548964,1.470896,1.42945,1.406592,1.382207,1.34715,1.302054,1.249494,1.191459,1.132919,1.083217,1.051456,1.04124,1.050291,1.07308,1.101937,1.127685,1.143843,1.151947,1.159245,1.166893,1.160892,1.119501,1.033576,0.919574,0.8101591,0.730189,0.680559,0.6434881,0.601452,0.5510351,0.5013634,0.4627514,0.4380459,0.4227746,0.4104362,0.3966143,0.3799394,0.3616476,0.3447796,0.3324088,0.3253011,0.3210678,0.3158309,0.3068804,0.2942269,0.2804214,0.2690738,0.2626109,0.2603639,0.2587038,0.2537539,0.2447213,0.2349575,0.229671,0.2318837,0.2395706,0.2464044,0.2461746,0.2377272,0.2260122,0.2178785,0.2163652,0.2187566,0.2196951,0.2157306,0.2071944,0.1967708,0.1870149,0.1788579,0.1715304,0.1635299,0.1541076,0.1443134,0.1364635,0.1320708,0.1301235,0.1277358,0.1228464,0.116255,0.1108484,0.1089037,0.1102916,0.1130617,0.1152158,0.1157115,0.1142724,0.1110338,0.1067486,0.1030501,0.101867,0.1040006,0.1080797,0.1111733,0.1108762,0.1070584,0.1016449,0.09684008,0.09376335,0.0926133,0.09347772,0.09640943,0.1007916,0.1051164,0.1076992,0.1076592,0.1053125,0.1018103,0.09838552,0.09566688,0.09348071,0.09133352,0.08921175,0.08791222,0.08845526,0.09100556,0.09423393,0.09569221,0.0929597,0.08479025,0.07161997
1.854875,4.080151,5.017563,6.10083,6.888658,7.119334,6.776828,6.029811,5.120765,4.272184,3.630805,3.243917,3.063785,2.981269,2.880909,2.694669,2.428435,2.149189,1.941682,1.858642,1.892162,1.98306,2.06093,2.084607,2.053481,1.987882,1.904326,1.809823,1.714519,1.643851,1.635763,1.725725,1.937244,2.296001,2.860525,3.723329,4.936339,6.389578,7.760802,8.634168,8.736079,8.103256,7.041489,5.919688,4.976099,4.26576,3.731522,3.297215,2.914117,2.562573,2.239993,1.952638,1.710511,1.521212,1.383223,1.283195,1.201059,1.120638,1.037341,0.9569191,0.8883091,0.8380104,0.8086389,0.7987958,0.8025885,0.8108307,0.8149908,0.8110121,0.7995899,0.7832412,0.7635369,0.7409297,0.7163855,0.6921681,0.6705002,0.6517603,0.6346923,0.6184227,0.6034577,0.5901803,0.5770212,0.5611109,0.5408288,0.5171447,0.4923491,0.4680022,0.4444011,0.4215731,0.4000947,0.3806885,0.3633311,0.3472621,0.3320997,0.3185854,0.3077018,0.2990475,0.29059,0.2802151,0.2671393,0.2517062,0.2345451,0.216667,0.2000594,0.1872451,0.1798319,0.1776666,0.1793394,0.1830545,0.1869266,0.1890549,0.1880593,0.1838531,0.1778329,0.172107,0.1682481,0.1665238,0.1661891,0.166386,0.1665835,0.1662511,0.1646669,0.1614794,0.1572068,0.152691,0.1481834,0.1435431,0.139411,0.1375312,0.1393706,0.1444747,0.1503713,0.1540283,0.1535242,0.1489327,0.1422031,0.1360703,0.1324084,0.1311295,0.1306465,0.1295791,0.128134,0.1278869,0.1302402,0.1350061,0.1403193,0.1437799,0.1437235,0.1397382,0.1325556,0.1238937,0.1162796,0.1123477,0.113562,0.1191645,0.1262983,0.131476,0.1325821,0.1300582,0.1262611,0.123403,0.1219281,0.1208689,0.119533,0.1183996,0.1183477,0.1196089,0.1219058,0.1252132,0.1296511,0.1345249,0.1380211,0.1382969,0.1349139,0.1292373,0.1236096,0.1200096,0.1188629,0.1184953,0.1157091,0.1074549,0.09264354
2.567737,5.711723,7.161166,8.79631,9.885893,10.0172,9.241426,7.941853,6.56199,5.398533,4.558016,4.02652,3.75087,3.677348,3.751612,3.905618,4.058628,4.14682,4.163764,4.16801,4.236382,4.401728,4.643191,4.951344,5.415948,6.267931,7.865894,10.65733,15.08375,21.32258,28.86565,36.22955,41.24242,42.01133,38.02507,30.55223,21.97002,14.51234,9.330379,6.378222,4.934841,4.222583,3.745966,3.317588,2.92748,2.607877,2.366506,2.188023,2.059105,1.975302,1.927248,1.892056,1.84352,1.76876,1.675339,1.586331,1.52812,1.515431,1.541106,1.579774,1.604494,1.602507,1.577148,1.537119,1.484995,1.414848,1.319511,1.199969,1.067953,0.9392784,0.8246168,0.7265552,0.6440703,0.5776734,0.5295734,0.5001438,0.4852944,0.4771088,0.4672348,0.4512804,0.4315214,0.4152277,0.4088867,0.4126247,0.4194642,0.4199467,0.4084154,0.3865299,0.3621191,0.3446601,0.340379,0.3494266,0.3659084,0.3804412,0.3845342,0.375049,0.3558438,0.3348939,0.3189173,0.3097802,0.3049315,0.3003048,0.2929109,0.2819638,0.2688499,0.2562667,0.2467488,0.2412457,0.2385176,0.2355898,0.2290701,0.216966,0.2001054,0.1819149,0.1663141,0.155355,0.1486517,0.1447577,0.1426299,0.1416774,0.1410046,0.1394408,0.1365986,0.1335185,0.1318406,0.1323243,0.134289,0.1362902,0.1370072,0.1356307,0.1320079,0.1267375,0.1208119,0.1148172,0.108669,0.1024669,0.09745201,0.09563557,0.09827505,0.1047747,0.1129299,0.119981,0.1236964,0.1232905,0.1198953,0.1158978,0.1131789,0.1117257,0.1100803,0.107181,0.1036205,0.1011056,0.1009041,0.1029003,0.1059027,0.1085496,0.1099635,0.1099354,0.1088383,0.1073512,0.1059968,0.1047995,0.1035225,0.1023886,0.1024278,0.1047481,0.1092538,0.1142094,0.1173401,0.1175106,0.115391,0.1126251,0.1104897,0.1092226,0.1082398,0.1067087,0.1040169,0.09994458,0.09441617,0.08696976,0.07661878
2.311791,5.119885,6.355818,7.736844,8.694488,8.985191,8.725362,8.192023,7.589612,6.962545,6.269215,5.497969,4.710665,4.000749,3.42996,3.002844,2.686619,2.447508,2.273071,2.169144,2.141115,2.180268,2.269014,2.397993,2.572926,2.79717,3.042148,3.236435,3.293994,3.167731,2.886702,2.543605,2.240254,2.034925,1.929546,1.894383,1.897556,1.915866,1.932857,1.940488,1.94445,1.959285,1.99004,2.017805,2.007786,1.936257,1.812163,1.673055,1.558823,1.485794,1.441291,1.399519,1.343006,1.273006,1.204587,1.154065,1.128813,1.124708,1.130905,1.137754,1.14163,1.142433,1.136847,1.116158,1.073062,1.010644,0.9428266,0.8851842,0.8458951,0.82468,0.8168691,0.815524,0.8110164,0.793054,0.7563947,0.7051141,0.6508363,0.6062683,0.5787315,0.5670879,0.5633125,0.5580505,0.5467231,0.531269,0.5161375,0.5029871,0.4895034,0.4725585,0.4513773,0.4277306,0.4042492,0.383153,0.3657686,0.3520107,0.3399628,0.3266357,0.3100515,0.2910345,0.2727942,0.2583736,0.2483806,0.2412806,0.2356182,0.2313112,0.2286284,0.2267307,0.2241407,0.2205966,0.2176871,0.2172612,0.2194088,0.2221056,0.2226514,0.2195212,0.2132839,0.2059962,0.1994793,0.1939407,0.1883235,0.181995,0.1757915,0.1712324,0.1689648,0.1682158,0.1675116,0.1655743,0.1617763,0.156478,0.151313,0.1486871,0.1501857,0.1550339,0.1602305,0.1625216,0.1605585,0.1554638,0.1496679,0.1453204,0.1434324,0.1438387,0.1455577,0.1473545,0.1483698,0.1483908,0.1475352,0.1458445,0.1434414,0.1409789,0.1394589,0.1392654,0.1394848,0.1384941,0.1354101,0.1310492,0.1275366,0.1268532,0.1293513,0.1333167,0.136039,0.1357105,0.1326005,0.1284745,0.1249431,0.1224331,0.1205316,0.1187804,0.1167893,0.1139147,0.1095813,0.1043015,0.1000602,0.09913108,0.1022804,0.1081778,0.1144896,0.119316,0.1215844,0.1205032,0.1151413,0.1047106,0.08922499
1.789617,4.026389,5.129859,6.340883,7.160825,7.415278,7.257385,6.952423,6.651307,6.322756,5.852788,5.191426,4.420486,3.705516,3.188934,2.912438,2.818108,2.81205,2.83269,2.873827,2.957054,3.089806,3.250376,3.409378,3.560677,3.727962,3.939851,4.197445,4.463637,4.681036,4.802497,4.817472,4.770973,4.773426,4.983628,5.545119,6.495702,7.720293,9.007921,10.18355,11.19705,12.0773,12.79921,13.22448,13.21935,12.85776,12.48398,12.50442,13.03987,13.74212,13.96903,13.20423,11.39301,8.948226,6.466514,4.405315,2.936625,2.00152,1.446536,1.12648,0.9411898,0.8318177,0.7662123,0.7264156,0.7015526,0.6858627,0.6785994,0.6818131,0.6951824,0.7111629,0.7157086,0.6972602,0.6585395,0.618765,0.5997413,0.6068693,0.6251382,0.6356428,0.6347567,0.634953,0.6480056,0.6707838,0.6882506,0.6875753,0.6676276,0.6371291,0.6069508,0.5839489,0.5687475,0.5570589,0.5439474,0.5285618,0.5149589,0.5076912,0.506909,0.5087074,0.5100743,0.5121865,0.5182511,0.5289589,0.5408448,0.5485304,0.5476495,0.5360175,0.5136741,0.4830359,0.4486983,0.4158978,0.3881681,0.3660229,0.3476262,0.3305638,0.3131555,0.2947525,0.2756921,0.2574875,0.2427872,0.2343167,0.233107,0.2374204,0.2433888,0.2469562,0.2458285,0.240322,0.2326819,0.2253473,0.2195544,0.2155055,0.2136045,0.2148215,0.2193427,0.2251909,0.2289436,0.228198,0.2233278,0.2170255,0.2125391,0.2122644,0.2171679,0.2265886,0.2383614,0.249705,0.258706,0.2651578,0.2696803,0.2718544,0.269629,0.2611539,0.2472197,0.2314135,0.2177839,0.2088065,0.2055075,0.2081907,0.2156761,0.2241585,0.2284862,0.2257134,0.2173689,0.208052,0.2020537,0.2012223,0.2050761,0.2119607,0.2201115,0.2282812,0.2357197,0.241495,0.2439233,0.2410311,0.2319744,0.2183615,0.2044849,0.196007,0.197312,0.2086761,0.2251446,0.2382373,0.239586,0.2243489,0.1928738
